buffer_id,level,capacity,t_s
B04,0,3,944
B02,1,2,944
B01,0,1,944
B11,0,2,946
B07,1,1,948
B06,0,2,948
B05,0,3,949
B09,0,3,950
B03,2,3,953
B02,0,2,953
B08,1,2,960
B07,0,1,960
B08,0,2,963
B16,1,2,964
B16,0,2,967
B04,1,3,982
B03,1,3,982
B13,1,3,989
B11,1,2,990
B01,1,1,991
B05,1,3,994
B04,0,3,994
B14,1,3,1003
B13,0,3,1003
B06,1,2,1004
B05,0,3,1004
B02,1,2,1005
B01,0,1,1005
B15,1,1,1006
B14,0,3,1006
B10,1,2,1007
B12,1,2,1008
B11,0,2,1008
B03,2,3,1009
B02,0,2,1009
B15,0,1,1010
B10,0,2,1010
B12,0,2,1011
B17,1,3,1015
B09,1,3,1016
B17,0,3,1019
B09,0,3,1020
B08,1,2,1026
B08,0,2,1028
B04,1,3,1041
B03,1,3,1041
B01,1,1,1044
B06,2,2,1052
B05,1,3,1055
B04,0,3,1055
B13,1,3,1057
B03,2,3,1057
B02,1,2,1058
B01,0,1,1058
B05,0,3,1060
B02,0,2,1061
B16,1,2,1063
B14,1,3,1063
B12,1,2,1063
B13,0,3,1064
B16,0,2,1066
B12,0,2,1066
B15,1,1,1067
B14,0,3,1067
B15,0,1,1073
B18,1,2,1074
B09,1,3,1074
B11,1,2,1076
B18,0,2,1078
B10,1,2,1082
B09,0,3,1082
B11,0,2,1083
B10,0,2,1084
B04,1,3,1098
B03,1,3,1098
B01,1,1,1101
B17,1,3,1111
B03,2,3,1111
B02,1,2,1111
B01,0,1,1111
B05,1,3,1114
B04,0,3,1114
B02,0,2,1114
B17,0,3,1116
B16,1,2,1122
B16,0,2,1124
B13,1,3,1126
B15,1,1,1128
B19,1,3,1130
B15,0,1,1133
B14,1,3,1133
B13,0,3,1133
B11,1,2,1133
B19,0,3,1135
B14,0,3,1136
B12,1,2,1139
B11,0,2,1141
B12,0,2,1142
B10,1,2,1144
B01,1,1,1145
B10,0,2,1147
B04,1,3,1162
B03,1,3,1162
B03,2,3,1167
B02,1,2,1168
B01,0,1,1168
B18,1,2,1170
B02,0,2,1170
B17,1,3,1171
B18,0,2,1174
B17,0,3,1176
B05,2,3,1179
B04,0,3,1179
B13,1,3,1183
B14,1,3,1189
B13,0,3,1189
B16,1,2,1191
B16,0,2,1193
B15,1,1,1197
B14,0,3,1197
B12,1,2,1200
B11,1,2,1200
B15,0,1,1203
B12,0,2,1203
B01,1,1,1203
B11,0,2,1205
B04,1,3,1221
B03,1,3,1221
B03,2,3,1223
B19,1,3,1224
B02,1,2,1226
B01,0,1,1226
B19,0,3,1228
B18,1,2,1228
B02,0,2,1229
B18,0,2,1233
B17,1,3,1240
B05,3,3,1242
B04,0,3,1242
B17,0,3,1245
B14,1,3,1246
B12,1,2,1255
B13,1,3,1256
B12,0,2,1258
B13,0,3,1259
B15,1,1,1260
B14,0,3,1260
B01,1,1,1262
B16,1,2,1264
B15,0,1,1265
B16,0,2,1267
B03,3,3,1280
B02,1,2,1281
B01,0,1,1281
B02,0,2,1284
B04,1,3,1291
B03,2,3,1291
B19,1,3,1292
B19,0,3,1297
B18,1,2,1302
B13,1,3,1302
B07,1,1,1303
B06,1,2,1303
B06,2,2,1303
B05,2,3,1303
B05,3,3,1303
B04,0,3,1303
B18,0,2,1305
B07,0,1,1308
B16,1,2,1315
B01,1,1,1316
B14,1,3,1317
B13,0,3,1317
B17,1,3,1323
B16,0,2,1323
B15,1,1,1326
B14,0,3,1326
B17,0,3,1328
B15,0,1,1332
B03,3,3,1336
B02,1,2,1344
B01,0,1,1344
B02,0,2,1347
B04,1,3,1350
B03,2,3,1350
B07,1,1,1359
B06,1,2,1359
B19,1,3,1361
B19,0,3,1365
B06,2,2,1366
B05,2,3,1366
B05,3,3,1366
B04,0,3,1366
B14,1,3,1372
B01,1,1,1374
B08,1,2,1376
B07,0,1,1376
B08,0,2,1378
B18,1,2,1380
B18,0,2,1384
B17,1,3,1384
B15,1,1,1385
B14,0,3,1385
B16,1,2,1389
B17,0,3,1391
B15,0,1,1391
B16,0,2,1392
B03,3,3,1402
B02,1,2,1402
B01,0,1,1402
B02,0,2,1405
B04,1,3,1420
B03,2,3,1420
B07,1,1,1422
B06,1,2,1422
B06,2,2,1422
B05,2,3,1422
B01,1,1,1432
B05,3,3,1434
B04,0,3,1434
B09,1,3,1435
B19,1,3,1436
B18,1,2,1437
B08,1,2,1439
B07,0,1,1439
B19,0,3,1440
B18,0,2,1440
B09,0,3,1441
B08,0,2,1441
B16,1,2,1442
B17,1,3,1445
B16,0,2,1445
B15,1,1,1448
B17,0,3,1451
B15,0,1,1452
B03,3,3,1457
B02,1,2,1461
B01,0,1,1461
B02,0,2,1463
B07,1,1,1466
B06,1,2,1466
B06,2,2,1469
B05,2,3,1469
B04,1,3,1471
B03,2,3,1471
B01,1,1,1485
B08,1,2,1488
B07,0,1,1488
B19,1,3,1489
B05,3,3,1489
B04,0,3,1489
B19,0,3,1493
B17,1,3,1496
B09,1,3,1497
B08,0,2,1497
B10,1,2,1501
B16,1,2,1502
B09,0,3,1503
B10,0,2,1504
B16,0,2,1505
B18,1,2,1512
B17,0,3,1512
B18,0,2,1515
B03,3,3,1518
B02,1,2,1518
B01,0,1,1518
B02,0,2,1520
B07,1,1,1528
B06,1,2,1528
B06,2,2,1528
B05,2,3,1528
B01,1,1,1536
B08,1,2,1546
B07,0,1,1546
B09,1,3,1550
B08,0,2,1550
B10,1,2,1557
B09,0,3,1557
B17,1,3,1559
B05,3,3,1560
B19,1,3,1563
B19,0,3,1567
B18,1,2,1569
B17,0,3,1569
B18,0,2,1574
B02,1,2,1577
B01,0,1,1577
B07,1,1,1582
B06,1,2,1582
B06,2,2,1582
B05,2,3,1582
B01,1,1,1586
B09,1,3,1595
B08,1,2,1618
B07,0,1,1618
B10,2,2,1619
B09,0,3,1619
B08,0,2,1621
B19,1,3,1625
B18,1,2,1625
B18,0,2,1629
B19,0,3,1630
B02,2,2,1630
B01,0,1,1630
B07,1,1,1636
B06,1,2,1636
B06,2,2,1641
B05,1,3,1641
B11,1,2,1642
B10,1,2,1642
B11,0,2,1646
B01,1,1,1648
B09,1,3,1671
B08,1,2,1678
B07,0,1,1678
B08,0,2,1680
B10,2,2,1687
B09,0,3,1687
B07,1,1,1687
B06,1,2,1687
B11,1,2,1688
B10,1,2,1688
B19,1,3,1693
B12,1,2,1694
B11,0,2,1694
B19,0,3,1698
B12,0,2,1698
B06,2,2,1698
B05,0,3,1698
B09,1,3,1739
B11,1,2,1740
B10,0,2,1740
B10,1,2,1741
B08,1,2,1744
B07,0,1,1744
B13,1,3,1745
B09,0,3,1746
B08,0,2,1746
B07,1,1,1748
B06,1,2,1748
B13,0,3,1749
B12,1,2,1750
B11,0,2,1750
B12,0,2,1754
B06,2,2,1754
B11,1,2,1785
B10,0,2,1785
B09,1,3,1793
B08,1,2,1796
B07,0,1,1796
B08,0,2,1798
B07,1,1,1799
B06,1,2,1799
B12,1,2,1801
B11,0,2,1801
B10,1,2,1806
B09,0,3,1806
B13,1,3,1807
B12,0,2,1807
B14,1,3,1808
B14,0,3,1811
B13,0,3,1812
B11,1,2,1826
B10,0,2,1826
B08,1,2,1850
B07,0,1,1850
B07,1,1,1854
B06,0,2,1854
B09,1,3,1856
B08,0,2,1856
B13,1,3,1859
B12,1,2,1862
B11,0,2,1862
B12,0,2,1865
B10,1,2,1867
B09,0,3,1867
B11,1,2,1871
B10,0,2,1871
B14,1,3,1872
B13,0,3,1872
B15,1,1,1873
B14,0,3,1875
B15,0,1,1877
B04,1,3,1894
B03,2,3,1894
B03,3,3,1894
B02,1,2,1894
B02,2,2,1894
B01,0,1,1894
B01,1,1,1894
B04,0,3,1897
B08,1,2,1900
B07,0,1,1900
B07,1,1,1900
B13,1,3,1913
B09,1,3,1913
B08,0,2,1913
B10,1,2,1918
B09,0,3,1918
B12,1,2,1919
B11,0,2,1919
B12,0,2,1922
B11,1,2,1929
B10,0,2,1929
B16,1,2,1932
B16,0,2,1935
B15,1,1,1937
B14,1,3,1937
B13,0,3,1937
B14,0,3,1940
B15,0,1,1942
B04,1,3,1946
B03,2,3,1946
B03,3,3,1949
B02,1,2,1949
B02,2,2,1955
B01,0,1,1955
B01,1,1,1955
B05,1,3,1957
B04,0,3,1957
B05,0,3,1962
B08,1,2,1964
B07,0,1,1964
B10,1,2,1968
B09,1,3,1974
B08,0,2,1974
B09,0,3,1979
B13,1,3,1981
B12,1,2,1984
B11,0,2,1984
B12,0,2,1987
B17,1,3,1989
B11,1,2,1993
B10,0,2,1993
B17,0,3,1994
B14,1,3,1994
B13,0,3,1994
B16,1,2,1996
B16,0,2,1999
B15,1,1,2008
B14,0,3,2008
B05,1,3,2010
B04,1,3,2010
B03,2,3,2010
B03,3,3,2010
B02,1,2,2010
B02,2,2,2010
B01,0,1,2010
B15,0,1,2012
B04,0,3,2013
B01,1,1,2013
B06,1,2,2017
B05,0,3,2017
B08,1,2,2022
B09,1,3,2024
B06,0,2,2024
B08,0,2,2025
B13,1,3,2030
B10,1,2,2038
B09,0,3,2038
B11,2,2,2046
B10,0,2,2046
B12,1,2,2047
B11,1,2,2047
B17,1,3,2048
B12,0,2,2051
B18,1,2,2053
B17,0,3,2053
B14,1,3,2056
B13,0,3,2056
B18,0,2,2057
B05,1,3,2065
B06,1,2,2066
B16,1,2,2068
B05,0,3,2070
B16,0,2,2071
B15,1,1,2071
B14,0,3,2071
B04,1,3,2071
B03,2,3,2071
B03,3,3,2071
B02,1,2,2071
B02,2,2,2071
B01,0,1,2071
B01,1,1,2071
B09,1,3,2074
B04,0,3,2074
B15,0,1,2075
B07,1,1,2084
B06,0,2,2084
B07,0,1,2090
B10,1,2,2097
B09,0,3,2097
B11,2,2,2103
B10,0,2,2103
B12,1,2,2104
B11,1,2,2104
B18,1,2,2105
B17,1,3,2110
B13,1,3,2111
B12,0,2,2111
B19,1,3,2113
B18,0,2,2113
B17,0,3,2114
B19,0,3,2117
B06,1,2,2121
B04,1,3,2125
B03,2,3,2125
B03,3,3,2127
B02,1,2,2127
B02,2,2,2127
B01,0,1,2127
B01,1,1,2127
B14,1,3,2129
B13,0,3,2129
B07,1,1,2130
B06,0,2,2130
B16,1,2,2132
B05,1,3,2133
B04,0,3,2133
B16,0,2,2135
B05,0,3,2138
B15,1,1,2142
B14,0,3,2142
B15,0,1,2146
B08,1,2,2147
B07,0,1,2147
B08,0,2,2149
B13,1,3,2153
B11,2,2,2154
B10,1,2,2155
B10,0,2,2158
B18,1,2,2163
B12,1,2,2167
B11,1,2,2167
B12,0,2,2170
B19,1,3,2178
B18,0,2,2178
B17,1,3,2181
B06,1,2,2182
B19,0,3,2183
B17,0,3,2186
B04,1,3,2186
B03,2,3,2186
B03,3,3,2186
B02,1,2,2186
B02,2,2,2186
B01,0,1,2186
B05,1,3,2190
B04,0,3,2190
B07,1,1,2193
B06,0,2,2193
B01,1,1,2193
B15,1,1,2194
B11,2,2,2195
B05,0,3,2195
B09,1,3,2196
B14,1,3,2197
B13,0,3,2197
B14,0,3,2200
B09,0,3,2201
B16,1,2,2204
B15,0,1,2204
B08,1,2,2204
B07,0,1,2204
B16,0,2,2207
B08,0,2,2207
B12,1,2,2218
B11,1,2,2218
B13,1,3,2229
B12,0,2,2229
B19,1,3,2236
B18,1,2,2236
B18,0,2,2240
B19,0,3,2241
B05,1,3,2242
B06,1,2,2246
B05,0,3,2246
B04,1,3,2246
B03,2,3,2246
B03,3,3,2246
B02,1,2,2246
B02,2,2,2246
B01,0,1,2246
B07,1,1,2249
B04,0,3,2249
B09,1,3,2251
B17,1,3,2252
B06,0,2,2252
B16,1,2,2253
B01,1,1,2253
B17,0,3,2257
B16,0,2,2257
B08,1,2,2260
B07,0,1,2260
B14,1,3,2263
B13,0,3,2263
B10,1,2,2263
B09,0,3,2263
B08,0,2,2263
B15,1,1,2264
B14,0,3,2266
B10,0,2,2267
B15,0,1,2268
B12,1,2,2274
B11,0,2,2274
B19,1,3,2293
B19,0,3,2299
B05,1,3,2301
B13,1,3,2302
B12,0,2,2302
B06,1,2,2302
B07,1,1,2306
B18,1,2,2307
B06,0,2,2308
B05,0,3,2309
B18,0,2,2311
B04,1,3,2312
B03,2,3,2312
B03,3,3,2312
B02,1,2,2312
B02,2,2,2312
B01,0,1,2312
B01,1,1,2312
B04,0,3,2314
B17,1,3,2316
B10,1,2,2317
B08,1,2,2318
B07,0,1,2318
B11,1,2,2319
B16,1,2,2320
B17,0,3,2321
B10,0,2,2321
B16,0,2,2323
B14,1,3,2323
B13,0,3,2323
B09,1,3,2323
B08,0,2,2323
B09,0,3,2330
B15,1,1,2332
B14,0,3,2332
B12,1,2,2337
B11,0,2,2337
B15,0,1,2338
B07,1,1,2351
B13,1,3,2360
B12,0,2,2360
B11,1,2,2362
B06,1,2,2368
B19,1,3,2369
B04,1,3,2370
B03,2,3,2370
B03,3,3,2370
B02,1,2,2370
B02,2,2,2370
B01,0,1,2370
B17,1,3,2371
B05,1,3,2372
B19,0,3,2373
B09,1,3,2373
B04,0,3,2373
B01,1,1,2373
B06,0,2,2375
B05,0,3,2376
B18,1,2,2378
B17,0,3,2378
B14,1,3,2378
B13,0,3,2378
B08,1,2,2378
B07,0,1,2378
B08,0,2,2381
B18,0,2,2383
B10,1,2,2386
B09,0,3,2386
B10,0,2,2389
B16,1,2,2394
B16,0,2,2397
B15,1,1,2397
B14,0,3,2397
B12,1,2,2397
B11,0,2,2397
B15,0,1,2402
B07,1,1,2419
B06,1,2,2420
B13,1,3,2421
B12,0,2,2421
B05,1,3,2423
B06,0,2,2425
B05,0,3,2428
B09,1,3,2430
B18,1,2,2431
B04,1,3,2431
B03,2,3,2431
B03,3,3,2431
B02,1,2,2431
B02,2,2,2431
B01,0,1,2431
B01,1,1,2431
B19,1,3,2432
B04,0,3,2434
B19,0,3,2435
B18,0,2,2436
B10,1,2,2442
B09,0,3,2442
B08,1,2,2442
B07,0,1,2442
B14,1,3,2443
B13,0,3,2443
B08,0,2,2444
B11,1,2,2451
B10,0,2,2451
B17,1,3,2454
B12,1,2,2458
B11,0,2,2458
B17,0,3,2459
B16,1,2,2463
B15,1,1,2464
B14,0,3,2464
B16,0,2,2466
B15,0,1,2469
B07,1,1,2480
B13,1,3,2485
B12,0,2,2485
B06,1,2,2486
B04,1,3,2491
B03,2,3,2491
B03,3,3,2491
B02,1,2,2491
B02,2,2,2491
B01,0,1,2491
B06,0,2,2494
B05,1,3,2494
B04,0,3,2494
B01,1,1,2496
B09,1,3,2498
B05,0,3,2498
B10,1,2,2502
B09,0,3,2502
B08,1,2,2504
B07,0,1,2504
B14,1,3,2505
B13,0,3,2505
B08,0,2,2507
B11,1,2,2508
B10,0,2,2508
B19,1,3,2509
B18,1,2,2511
B19,0,3,2514
B12,1,2,2514
B11,0,2,2514
B18,0,2,2515
B16,1,2,2516
B15,1,1,2519
B14,0,3,2519
B17,1,3,2520
B16,0,2,2520
B15,0,1,2523
B17,0,3,2525
B13,1,3,2541
B12,0,2,2541
B05,1,3,2551
B11,1,2,2552
B06,1,2,2552
B04,1,3,2553
B03,2,3,2553
B03,3,3,2553
B02,1,2,2553
B02,2,2,2554
B01,0,1,2554
B01,1,1,2554
B07,1,1,2555
B04,0,3,2556
B10,1,2,2557
B05,0,3,2557
B09,1,3,2558
B06,0,2,2559
B10,0,2,2560
B09,0,3,2564
B14,1,3,2566
B13,0,3,2566
B08,1,2,2568
B07,0,1,2568
B12,1,2,2569
B11,0,2,2569
B08,0,2,2570
B15,1,1,2576
B14,0,3,2576
B19,1,3,2577
B17,1,3,2579
B19,0,3,2580
B18,1,2,2580
B17,0,3,2584
B18,0,2,2585
B13,1,3,2585
B12,0,2,2585
B16,1,2,2586
B15,0,1,2586
B16,0,2,2588
B07,1,1,2608
B06,1,2,2608
B11,1,2,2609
B04,1,3,2611
B03,2,3,2611
B03,3,3,2611
B02,1,2,2611
B02,2,2,2611
B01,0,1,2611
B05,1,3,2613
B06,0,2,2614
B04,0,3,2615
B10,1,2,2618
B09,1,3,2619
B05,0,3,2619
B10,0,2,2620
B12,1,2,2621
B11,0,2,2621
B01,1,1,2621
B09,0,3,2624
B14,1,3,2630
B13,0,3,2630
B19,1,3,2633
B18,1,2,2633
B16,1,2,2633
B18,0,2,2637
B15,1,1,2637
B14,0,3,2637
B08,1,2,2637
B07,0,1,2637
B17,1,3,2638
B16,0,2,2638
B08,0,2,2639
B17,0,3,2643
B15,0,1,2644
B13,1,3,2647
B12,0,2,2647
B19,0,3,2650
B04,1,3,2666
B03,2,3,2666
B03,3,3,2666
B02,1,2,2666
B02,2,2,2666
B01,0,1,2666
B11,1,2,2667
B05,1,3,2671
B04,0,3,2671
B07,1,1,2672
B06,1,2,2674
B05,0,3,2676
B01,1,1,2677
B06,0,2,2679
B12,1,2,2680
B11,0,2,2680
B10,1,2,2681
B10,0,2,2685
B17,1,3,2686
B19,1,3,2690
B08,1,2,2692
B07,0,1,2692
B18,1,2,2695
B17,0,3,2695
B16,1,2,2695
B15,1,1,2696
B16,0,2,2698
B13,2,3,2699
B12,0,2,2699
B09,1,3,2699
B08,0,2,2699
B18,0,2,2700
B14,1,3,2700
B13,1,3,2700
B15,0,1,2701
B14,0,3,2703
B09,0,3,2706
B19,0,3,2709
B06,1,2,2721
B04,1,3,2724
B03,2,3,2724
B03,3,3,2724
B02,1,2,2724
B02,2,2,2724
B01,0,1,2724
B01,1,1,2731
B07,1,1,2733
B06,0,2,2733
B05,1,3,2733
B04,0,3,2733
B08,1,2,2735
B12,1,2,2737
B05,0,3,2737
B07,0,1,2739
B17,1,3,2740
B09,1,3,2742
B08,0,2,2742
B18,1,2,2748
B17,0,3,2748
B11,1,2,2749
B13,2,3,2750
B12,0,2,2750
B11,0,2,2754
B19,1,3,2759
B18,0,2,2759
B16,1,2,2759
B16,0,2,2762
B19,0,3,2765
B14,1,3,2765
B13,1,3,2765
B15,1,1,2767
B14,0,3,2768
B10,1,2,2771
B09,0,3,2771
B15,0,1,2772
B10,0,2,2774
B05,1,3,2787
B04,1,3,2787
B03,2,3,2787
B03,3,3,2787
B02,1,2,2787
B02,2,2,2787
B01,0,1,2787
B01,1,1,2787
B06,1,2,2790
B04,0,3,2791
B05,0,3,2792
B09,1,3,2797
B08,1,2,2798
B18,1,2,2799
B08,0,2,2800
B17,1,3,2808
B13,2,3,2810
B17,0,3,2813
B12,1,2,2813
B19,1,3,2817
B18,0,2,2817
B12,0,2,2817
B11,1,2,2821
B10,1,2,2821
B09,0,3,2821
B19,0,3,2822
B10,0,2,2824
B16,1,2,2827
B14,1,3,2827
B13,1,3,2827
B11,0,2,2827
B16,0,2,2830
B15,1,1,2830
B14,0,3,2830
B15,0,1,2834
B07,1,1,2842
B06,0,2,2842
B05,1,3,2845
B04,1,3,2845
B03,2,3,2845
B03,3,3,2845
B02,1,2,2845
B02,2,2,2845
B01,0,1,2845
B01,1,1,2845
B09,1,3,2847
B07,0,1,2848
B04,0,3,2848
B06,1,2,2854
B05,0,3,2854
B13,2,3,2861
B19,1,3,2864
B18,1,2,2867
B18,0,2,2871
B11,1,2,2872
B19,0,3,2875
B17,1,3,2878
B10,1,2,2881
B09,0,3,2881
B17,0,3,2883
B14,1,3,2884
B13,1,3,2884
B10,0,2,2885
B16,1,2,2894
B16,0,2,2897
B12,1,2,2898
B11,0,2,2898
B15,1,1,2899
B14,0,3,2899
B12,0,2,2901
B15,0,1,2903
B08,1,2,2903
B08,0,2,2905
B07,1,1,2906
B06,0,2,2906
B05,1,3,2908
B06,1,2,2910
B07,0,1,2913
B04,1,3,2913
B03,2,3,2913
B03,3,3,2913
B02,1,2,2913
B02,2,2,2913
B01,0,1,2913
B01,1,1,2913
B05,0,3,2914
B04,0,3,2916
B19,1,3,2924
B19,0,3,2928
B10,1,2,2935
B14,1,3,2943
B13,0,3,2943
B11,1,2,2944
B10,0,2,2944
B17,1,3,2948
B16,1,2,2950
B13,1,3,2951
B07,1,1,2951
B06,0,2,2951
B18,1,2,2952
B17,0,3,2952
B16,0,2,2953
B12,1,2,2953
B11,0,2,2953
B09,1,3,2954
B18,0,2,2956
B12,0,2,2956
B15,1,1,2959
B14,0,3,2959
B09,0,3,2959
B04,1,3,2961
B03,2,3,2961
B08,1,2,2962
B07,0,1,2962
B06,1,2,2962
B15,0,1,2965
B08,0,2,2965
B05,1,3,2972
B04,0,3,2972
B03,3,3,2973
B02,1,2,2973
B05,0,3,2977
B02,2,2,2981
B01,0,1,2981
B01,1,1,2981
B11,1,2,2993
B07,1,1,2997
B06,0,2,2997
B14,1,3,3001
B13,0,3,3001
B17,1,3,3009
B19,1,3,3011
B12,1,2,3011
B11,0,2,3011
B13,1,3,3012
B15,1,1,3014
B14,0,3,3014
B12,0,2,3014
B19,0,3,3016
B10,1,2,3017
B09,1,3,3017
B16,1,2,3020
B15,0,1,3020
B10,0,2,3020
B09,0,3,3022
B08,1,2,3022
B07,0,1,3022
B16,0,2,3023
B08,0,2,3024
B06,1,2,3027
B05,1,3,3028
B04,1,3,3030
B03,2,3,3030
B03,3,3,3030
B02,1,2,3030
B05,0,3,3032
B02,2,2,3032
B01,0,1,3032
B04,0,3,3033
B01,1,1,3037
B18,1,2,3053
B17,0,3,3053
B07,1,1,3055
B06,0,2,3055
B18,0,2,3057
B11,1,2,3063
B12,1,2,3064
B14,1,3,3065
B13,0,3,3065
B15,1,1,3069
B14,0,3,3069
B13,1,3,3069
B12,0,2,3069
B11,0,2,3070
B16,1,2,3073
B17,1,3,3075
B15,0,1,3075
B09,1,3,3075
B16,0,2,3076
B08,1,2,3081
B07,0,1,3081
B06,1,2,3082
B08,0,2,3084
B05,1,3,3085
B10,1,2,3088
B09,0,3,3088
B05,0,3,3090
B10,0,2,3091
B04,1,3,3093
B03,2,3,3093
B03,3,3,3093
B02,1,2,3093
B02,2,2,3093
B01,0,1,3093
B01,1,1,3093
B04,0,3,3096
B18,1,2,3103
B17,0,3,3103
B19,1,3,3105
B18,0,2,3108
B19,0,3,3110
B16,1,2,3120
B17,1,3,3123
B16,0,2,3123
B12,1,2,3129
B15,1,1,3132
B08,1,2,3132
B14,1,3,3133
B13,0,3,3133
B14,0,3,3135
B13,1,3,3135
B12,0,2,3135
B07,1,1,3135
B06,0,2,3135
B15,0,1,3136
B09,1,3,3136
B08,0,2,3136
B07,0,1,3140
B11,1,2,3141
B06,1,2,3142
B10,1,2,3144
B09,0,3,3144
B05,1,3,3146
B11,0,2,3147
B10,0,2,3147
B04,1,3,3150
B03,2,3,3150
B03,3,3,3150
B02,1,2,3150
B02,2,2,3150
B01,0,1,3150
B05,0,3,3151
B01,1,1,3151
B04,0,3,3153
B19,1,3,3155
B18,1,2,3156
B17,0,3,3156
B18,0,2,3159
B19,0,3,3170
B17,1,3,3173
B13,2,3,3185
B07,1,1,3185
B06,0,2,3185
B09,1,3,3186
B08,1,2,3193
B07,0,1,3193
B16,1,2,3195
B08,0,2,3195
B16,0,2,3197
B10,1,2,3198
B09,0,3,3198
B06,1,2,3200
B15,1,1,3201
B14,1,3,3203
B13,1,3,3203
B05,1,3,3203
B14,0,3,3205
B04,1,3,3205
B03,2,3,3205
B03,3,3,3205
B02,1,2,3205
B02,2,2,3205
B01,0,1,3205
B01,1,1,3205
B15,0,1,3207
B12,1,2,3207
B18,1,2,3208
B17,0,3,3208
B11,1,2,3208
B10,0,2,3208
B04,0,3,3208
B05,0,3,3209
B12,0,2,3210
