vin,station_id,event,t_s
V000001,S11,out,639.9498579303257
V000007,S04,out,641.8752076708053
V000008,S04,in,641.8752076708053
V000006,S05,out,641.9877513301086
V000007,S05,in,642.9877513301086
V000001,S12,in,646.226974598345
V000006,S06,in,647.3138633342194
V000012,S01,out,663.5970176258894
V000013,S01,in,663.5970176258894
V000012,S02,in,668.1341329871748
V000011,S02,out,668.1341329871748
V000010,S03,out,680.1131322553096
V000011,S03,in,680.1131322553096
V000003,S09,out,684.283417927542
V000005,S07,out,684.8233696802356
V000004,S08,out,687.6638420033065
V000006,S06,out,690.3138633342194
V000002,S11,in,690.9498579303257
V000004,S09,in,691.283417927542
V000005,S08,in,691.6638420033065
V000007,S05,out,691.9877513301086
V000006,S07,in,694.8233696802356
V000008,S04,out,695.8752076708053
V000009,S04,in,695.8752076708053
V000008,S05,in,697.9877513301086
V000007,S06,in,699.3138633342194
V000013,S01,out,707.5970176258894
V000014,S01,in,707.5970176258894
V000001,S12,out,710.226974598345
V000001,S13,in,711.0930886798374
V000012,S02,out,731.1341329871748
V000013,S02,in,731.1341329871748
V000011,S03,out,734.1131322553096
V000012,S03,in,734.1131322553096
V000004,S09,out,741.283417927542
V000010,S04,in,747.8752076708053
V000009,S04,out,747.8752076708053
V000002,S11,out,748.9498579303257
V000007,S06,out,749.3138633342194
V000003,S11,in,751.9498579303257
V000006,S07,out,752.8233696802356
V000007,S07,in,753.8233696802356
V000002,S12,in,754.226974598345
V000005,S08,out,755.6638420033065
V000008,S05,out,756.9877513301086
V000009,S05,in,756.9877513301086
V000001,S13,out,757.0930886798374
V000006,S08,in,757.6638420033065
V000005,S09,in,758.283417927542
V000008,S06,in,762.3138633342194
V000014,S01,out,770.5970176258894
V000015,S01,in,770.5970176258894
V000013,S02,out,783.1341329871748
V000014,S02,in,783.1341329871748
V000012,S03,out,788.1131322553096
V000013,S03,in,788.1131322553096
V000003,S11,out,803.9498579303257
V000007,S07,out,809.8233696802356
V000002,S13,in,810.0930886798374
V000002,S12,out,811.226974598345
V000003,S12,in,811.226974598345
V000010,S04,out,812.8752076708053
V000011,S04,in,812.8752076708053
V000004,S11,in,812.9498579303257
V000005,S09,out,814.283417927542
V000006,S08,out,814.6638420033065
V000009,S05,out,815.9877513301086
V000010,S05,in,815.9877513301086
V000007,S08,in,816.6638420033065
V000006,S09,in,817.283417927542
V000008,S06,out,820.3138633342194
V000009,S06,in,821.3138633342194
V000016,S01,in,822.5970176258894
V000015,S01,out,822.5970176258894
V000008,S07,in,826.8233696802356
V000015,S02,in,833.1341329871748
V000014,S02,out,833.1341329871748
V000014,S03,in,847.1131322553096
V000013,S03,out,847.1131322553096
V000009,S06,out,862.3138633342194
V000003,S12,out,864.226974598345
V000012,S04,in,864.8752076708053
V000011,S04,out,864.8752076708053
V000004,S11,out,865.9498579303257
V000003,S13,in,866.0930886798374
V000002,S13,out,866.0930886798374
V000006,S09,out,868.283417927542
V000004,S12,in,872.226974598345
V000005,S11,in,872.9498579303257
V000011,S05,in,878.9877513301086
V000010,S05,out,878.9877513301086
V000017,S01,in,880.5970176258894
V000016,S01,out,880.5970176258894
V000010,S06,in,884.3138633342194
V000007,S08,out,885.6638420033065
V000007,S09,in,888.283417927542
V000016,S02,in,894.1341329871748
V000015,S02,out,894.1341329871748
V000009,S07,in,897.8233696802356
V000008,S07,out,897.8233696802356
V000015,S03,in,899.1131322553096
V000014,S03,out,899.1131322553096
V000008,S08,in,903.6638420033065
V000001,S16,in,905.2121579975744
V000003,S13,out,918.0930886798374
V000013,S04,in,922.8752076708053
V000012,S04,out,922.8752076708053
V000004,S13,in,933.0930886798374
V000004,S12,out,933.226974598345
V000010,S06,out,936.3138633342194
V000017,S01,out,936.5970176258894
V000018,S01,in,936.5970176258894
V000005,S11,out,939.9498579303257
V000006,S11,in,939.9498579303257
V000012,S05,in,941.9877513301086
V000011,S05,out,941.9877513301086
V000016,S02,out,943.1341329871748
V000017,S02,in,943.1341329871748
V000007,S09,out,944.283417927542
V000009,S07,out,946.8233696802356
V000010,S07,in,946.8233696802356
V000005,S12,in,947.226974598345
V000011,S06,in,948.3138633342194
V000015,S03,out,951.1131322553096
V000016,S03,in,951.1131322553096
V000008,S08,out,959.6638420033065
V000009,S08,in,959.6638420033065
V000001,S16,out,961.2121579975744
V000008,S09,in,963.283417927542
V000001,S17,in,969.8628592071015
V000013,S04,out,981.8752076708053
V000014,S04,in,981.8752076708053
V000004,S13,out,986.0930886798374
V000018,S01,out,991.5970176258894
V000013,S05,in,991.9877513301086
V000012,S05,out,991.9877513301086
V000012,S06,in,1003.3138633342194
V000011,S06,out,1003.3138633342194
V000018,S02,in,1004.1341329871748
V000017,S02,out,1004.1341329871748
V000017,S03,in,1007.1131322553096
V000016,S03,out,1007.1131322553096
V000002,S16,in,1007.2121579975744
V000005,S13,in,1008.0930886798374
V000006,S12,in,1009.226974598345
V000005,S12,out,1009.226974598345
V000007,S11,in,1010.9498579303257
V000008,S09,out,1016.283417927542
V000001,S18,in,1016.7159578408526
V000001,S17,out,1017.8628592071015
V000009,S08,out,1025.6638420033064
V000009,S09,in,1028.283417927542
V000015,S04,in,1040.8752076708051
V000014,S04,out,1040.8752076708051
V000020,S01,in,1044.5970176258893
V000019,S01,out,1044.5970176258893
V000012,S06,out,1051.3138633342194
V000014,S05,in,1052.9877513301087
V000013,S05,out,1052.9877513301087
V000005,S13,out,1054.0930886798374
V000017,S03,out,1055.1131322553094
V000019,S02,in,1057.1341329871748
V000018,S02,out,1057.1341329871748
V000018,S03,in,1059.1131322553094
V000013,S06,in,1059.3138633342194
V000002,S16,out,1060.2121579975744
V000006,S13,in,1063.0930886798374
V000019,S01,in,1063.34367619096
V000006,S12,out,1064.226974598345
V000002,S17,in,1068.8628592071013
V000003,S16,in,1070.2121579975744
V000001,S18,out,1071.7159578408525
V000009,S09,out,1074.283417927542
V000007,S11,out,1076.9498579303258
V000001,S19,in,1080.6093997249295
V000007,S12,in,1084.226974598345
V000008,S11,in,1084.9498579303258
V000016,S04,in,1097.8752076708051
V000015,S04,out,1097.8752076708051
V000021,S01,in,1101.5970176258893
V000020,S01,out,1101.5970176258893
V000018,S03,out,1109.1131322553094
V000020,S02,in,1110.1341329871748
V000019,S02,out,1110.1341329871748
V000015,S05,in,1111.9877513301087
V000014,S05,out,1111.9877513301087
V000019,S03,in,1112.1131322553094
V000002,S18,in,1113.7159578408525
V000002,S17,out,1113.8628592071013
V000006,S11,out,1118.805899919827
V000003,S16,out,1119.2121579975744
V000006,S13,out,1123.0930886798374
V000003,S17,in,1126.8628592071013
V000004,S16,in,1130.2121579975744
V000001,S19,out,1132.6093997249295
V000001,S20,in,1132.9416032917932
V000008,S11,out,1133.9498579303258
V000007,S13,in,1139.0930886798374
V000007,S12,out,1140.226974598345
V000008,S12,in,1142.226974598345
V000022,S01,in,1145.5970176258893
V000021,S01,out,1145.5970176258893
V000009,S11,in,1147.9498579303258
V000017,S04,in,1161.8752076708051
V000016,S04,out,1161.8752076708051
V000019,S03,out,1165.1131322553094
V000020,S02,out,1167.1341329871748
V000021,S02,in,1167.1341329871748
V000002,S18,out,1167.7159578408525
V000020,S03,in,1168.1131322553094
V000003,S18,in,1173.7159578408525
V000003,S17,out,1173.8628592071013
V000002,S19,in,1176.6093997249295
V000015,S05,out,1176.9877513301087
V000016,S05,in,1176.9877513301087
V000007,S13,out,1180.0930886798374
V000001,S20,out,1183.9416032917932
V000004,S16,out,1188.2121579975744
V000004,S17,in,1195.8628592071013
V000008,S13,in,1200.0930886798374
V000005,S16,in,1200.2121579975744
V000009,S11,out,1200.9498579303258
V000008,S12,out,1201.226974598345
V000022,S01,out,1203.5970176258893
V000023,S01,in,1203.5970176258893
V000009,S12,in,1206.226974598345
V000017,S04,out,1220.8752076708051
V000018,S04,in,1220.8752076708051
V000020,S03,out,1221.1131322553094
V000022,S02,in,1225.1341329871748
V000021,S02,out,1225.1341329871748
V000003,S18,out,1225.7159578408525
V000002,S20,in,1225.9416032917932
V000002,S19,out,1226.6093997249295
V000021,S03,in,1227.1131322553094
V000003,S19,in,1235.6093997249295
V000016,S05,out,1239.9877513301087
V000017,S05,in,1239.9877513301087
V000004,S18,in,1242.7159578408525
V000004,S17,out,1242.8628592071013
V000008,S13,out,1253.0930886798374
V000009,S13,in,1255.0930886798374
V000009,S12,out,1256.226974598345
V000005,S16,out,1261.2121579975744
V000006,S16,in,1262.2121579975744
V000024,S01,in,1262.5970176258893
V000023,S01,out,1262.5970176258893
V000005,S17,in,1269.8628592071013
V000021,S03,out,1278.1131322553094
V000022,S02,out,1280.1341329871748
V000023,S02,in,1280.1341329871748
V000002,S20,out,1280.9416032917932
V000022,S03,in,1282.1131322553094
V000018,S04,out,1290.8752076708051
V000019,S04,in,1290.8752076708051
V000003,S19,out,1294.6093997249295
V000003,S20,in,1294.9416032917932
V000009,S13,out,1299.0930886798374
V000004,S18,out,1299.7159578408525
V000017,S05,out,1300.9877513301087
V000018,S05,in,1300.9877513301087
V000011,S07,in,1301.8233696802356
V000010,S07,out,1301.8233696802356
V000014,S06,in,1302.3138633342194
V000013,S06,out,1302.3138633342194
V000004,S19,in,1307.6093997249295
V000010,S08,in,1307.6638420033064
V000006,S16,out,1312.2121579975744
V000025,S01,in,1316.5970176258893
V000024,S01,out,1316.5970176258893
V000005,S18,in,1325.7159578408525
V000006,S17,in,1325.8628592071013
V000005,S17,out,1325.8628592071013
V000007,S16,in,1329.2121579975744
V000022,S03,out,1334.1131322553094
V000023,S02,out,1343.1341329871748
V000024,S02,in,1343.1341329871748
V000023,S03,in,1345.1131322553094
V000020,S04,in,1349.8752076708051
V000019,S04,out,1349.8752076708051
V000003,S20,out,1349.9416032917932
V000012,S07,in,1357.8233696802356
V000011,S07,out,1357.8233696802356
V000004,S20,in,1362.9416032917932
V000004,S19,out,1363.6093997249295
V000018,S05,out,1363.9877513301087
V000019,S05,in,1363.9877513301087
V000014,S06,out,1365.3138633342194
V000015,S06,in,1365.3138633342194
V000026,S01,in,1374.5970176258893
V000025,S01,out,1374.5970176258893
V000011,S08,in,1375.6638420033064
V000010,S08,out,1375.6638420033064
V000005,S18,out,1377.7159578408525
V000010,S09,in,1378.283417927542
V000007,S16,out,1386.2121579975744
V000005,S19,in,1386.6093997249295
V000006,S17,out,1386.8628592071013
V000008,S16,in,1388.2121579975744
V000006,S18,in,1388.7159578408525
V000007,S17,in,1394.8628592071013
V000023,S03,out,1400.1131322553094
V000025,S02,in,1401.1341329871748
V000024,S02,out,1401.1341329871748
V000024,S03,in,1403.1131322553094
V000020,S04,out,1419.8752076708051
V000021,S04,in,1419.8752076708051
V000004,S20,out,1419.9416032917932
V000013,S07,in,1420.8233696802356
V000012,S07,out,1420.8233696802356
V000016,S06,in,1421.3138633342194
V000015,S06,out,1421.3138633342194
V000020,S05,in,1431.9877513301087
V000019,S05,out,1431.9877513301087
V000027,S01,in,1432.5970176258893
V000026,S01,out,1432.5970176258893
V000006,S18,out,1434.7159578408525
V000010,S09,out,1435.283417927542
V000005,S20,in,1437.9416032917932
V000005,S19,out,1438.6093997249295
V000012,S08,in,1438.6638420033064
V000011,S08,out,1438.6638420033064
V000008,S16,out,1439.2121579975744
V000011,S09,in,1441.283417927542
V000006,S19,in,1442.6093997249295
V000008,S17,in,1447.8628592071013
V000007,S17,out,1447.8628592071013
V000007,S18,in,1448.7159578408525
V000009,S16,in,1449.2121579975744
V000024,S03,out,1455.1131322553094
V000026,S02,in,1460.1341329871748
V000025,S02,out,1460.1341329871748
V000025,S03,in,1461.1131322553094
V000014,S07,in,1464.8233696802356
V000013,S07,out,1464.8233696802356
V000017,S06,in,1468.3138633342194
V000016,S06,out,1468.3138633342194
V000021,S04,out,1470.8752076708051
V000022,S04,in,1470.8752076708051
V000027,S01,out,1485.5970176258893
V000028,S01,in,1485.5970176258893
V000020,S05,out,1486.9877513301087
V000021,S05,in,1486.9877513301087
V000013,S08,in,1487.6638420033064
V000012,S08,out,1487.6638420033064
V000005,S20,out,1487.9416032917932
V000006,S20,in,1490.9416032917932
V000006,S19,out,1491.6093997249295
V000012,S09,in,1497.283417927542
V000011,S09,out,1497.283417927542
V000008,S17,out,1498.8628592071013
V000009,S16,out,1499.2121579975744
V000010,S11,in,1504.9498579303258
V000009,S17,in,1507.8628592071013
V000008,S18,in,1509.7159578408525
V000007,S18,out,1509.7159578408525
V000025,S03,out,1516.1131322553094
V000026,S02,out,1517.1341329871748
V000027,S02,in,1517.1341329871748
V000007,S19,in,1517.6093997249295
V000026,S03,in,1518.1131322553094
V000014,S07,out,1526.8233696802356
V000015,S07,in,1526.8233696802356
V000017,S06,out,1527.3138633342194
V000018,S06,in,1527.3138633342194
V000006,S20,out,1534.9416032917932
V000028,S01,out,1536.5970176258893
V000029,S01,in,1536.5970176258893
V000014,S08,in,1545.6638420033064
V000013,S08,out,1545.6638420033064
V000013,S09,in,1550.283417927542
V000012,S09,out,1550.283417927542
V000021,S05,out,1557.9877513301087
V000009,S17,out,1561.8628592071013
V000007,S20,in,1564.9416032917932
V000007,S19,out,1565.6093997249295
V000009,S18,in,1566.7159578408525
V000008,S18,out,1566.7159578408525
V000027,S02,out,1576.1341329871748
V000028,S02,in,1576.1341329871748
V000008,S19,in,1576.6093997249295
V000015,S07,out,1580.8233696802356
V000016,S07,in,1580.8233696802356
V000018,S06,out,1581.3138633342194
V000019,S06,in,1581.3138633342194
V000029,S01,out,1586.5970176258893
V000030,S01,in,1586.5970176258893
V000013,S09,out,1595.283417927542
V000007,S20,out,1614.9416032917932
V000014,S08,out,1617.6638420033064
V000015,S08,in,1617.6638420033064
V000014,S09,in,1621.283417927542
V000009,S18,out,1622.7159578408525
V000008,S19,out,1627.6093997249295
V000008,S20,in,1627.9416032917932
V000028,S02,out,1629.1341329871748
V000029,S02,in,1629.1341329871748
V000009,S19,in,1631.6093997249295
V000017,S07,in,1634.8233696802356
V000016,S07,out,1634.8233696802356
V000020,S06,in,1640.3138633342194
V000019,S06,out,1640.3138633342194
V000011,S11,in,1642.9498579303258
V000010,S11,out,1642.9498579303258
V000010,S12,in,1647.226974598345
V000031,S01,in,1648.5970176258893
V000030,S01,out,1648.5970176258893
V000014,S09,out,1671.283417927542
V000016,S08,in,1677.6638420033064
V000015,S08,out,1677.6638420033064
V000015,S09,in,1680.283417927542
V000008,S20,out,1680.9416032917932
V000018,S07,in,1685.8233696802356
V000017,S07,out,1685.8233696802356
V000012,S11,in,1688.9498579303258
V000011,S11,out,1688.9498579303258
V000010,S13,in,1695.0930886798374
V000010,S12,out,1695.226974598345
V000011,S12,in,1695.226974598345
V000009,S19,out,1695.6093997249295
V000009,S20,in,1695.9416032917932
V000021,S06,in,1697.3138633342194
V000020,S06,out,1697.3138633342194
V000015,S09,out,1739.283417927542
V000013,S11,in,1740.9498579303258
V000012,S11,out,1740.9498579303258
V000010,S13,out,1742.0930886798374
V000017,S08,in,1743.6638420033064
V000016,S08,out,1743.6638420033064
V000016,S09,in,1746.283417927542
V000019,S07,in,1746.8233696802356
V000018,S07,out,1746.8233696802356
V000011,S13,in,1751.0930886798374
V000011,S12,out,1751.226974598345
V000012,S12,in,1751.226974598345
V000021,S06,out,1753.3138633342194
V000009,S20,out,1759.9416032917932
V000014,S11,in,1785.9498579303258
V000013,S11,out,1785.9498579303258
V000016,S09,out,1793.283417927542
V000018,S08,in,1795.6638420033064
V000017,S08,out,1795.6638420033064
V000019,S07,out,1797.8233696802356
V000020,S07,in,1797.8233696802356
V000017,S09,in,1798.283417927542
V000013,S12,in,1802.226974598345
V000012,S12,out,1802.226974598345
V000012,S13,in,1804.0930886798374
V000011,S13,out,1804.0930886798374
V000015,S11,in,1826.9498579303258
V000014,S11,out,1826.9498579303258
V000019,S08,in,1849.6638420033064
V000018,S08,out,1849.6638420033064
V000021,S07,in,1852.8233696802356
V000020,S07,out,1852.8233696802356
V000012,S13,out,1856.0930886798374
V000018,S09,in,1856.283417927542
V000017,S09,out,1856.283417927542
V000013,S13,in,1862.0930886798374
V000014,S12,in,1863.226974598345
V000013,S12,out,1863.226974598345
V000016,S11,in,1871.9498579303258
V000015,S11,out,1871.9498579303258
V000010,S16,in,1874.2121579975744
V000027,S03,in,1892.1131322553094
V000026,S03,out,1892.1131322553094
V000030,S02,in,1893.1341329871748
V000029,S02,out,1893.1341329871748
V000022,S04,out,1893.8752076708051
V000023,S04,in,1893.8752076708051
V000032,S01,in,1894.5970176258893
V000031,S01,out,1894.5970176258893
V000022,S05,in,1894.9877513301087
V000021,S07,out,1898.8233696802356
V000019,S08,out,1899.6638420033064
V000020,S08,in,1899.6638420033064
V000013,S13,out,1910.0930886798374
V000018,S09,out,1913.283417927542
V000019,S09,in,1913.283417927542
V000014,S13,in,1919.0930886798374
V000015,S12,in,1920.226974598345
V000014,S12,out,1920.226974598345
V000010,S16,out,1929.2121579975744
V000017,S11,in,1929.9498579303258
V000016,S11,out,1929.9498579303258
V000010,S17,in,1937.8628592071013
V000011,S16,in,1939.2121579975744
V000023,S04,out,1945.8752076708051
V000024,S04,in,1945.8752076708051
V000027,S03,out,1947.1131322553094
V000028,S03,in,1947.1131322553094
V000031,S02,in,1954.1341329871748
V000023,S05,in,1954.9877513301087
V000022,S05,out,1954.9877513301087
V000033,S01,in,1955.5970176258893
V000032,S01,out,1955.5970176258893
V000022,S06,in,1961.3138633342194
V000020,S08,out,1963.6638420033064
V000021,S08,in,1963.6638420033064
V000019,S09,out,1974.283417927542
V000020,S09,in,1974.283417927542
V000014,S13,out,1978.0930886798374
V000015,S13,in,1984.0930886798374
V000015,S12,out,1985.226974598345
V000016,S12,in,1985.226974598345
V000010,S18,in,1991.7159578408525
V000010,S17,out,1991.8628592071013
V000011,S16,out,1993.2121579975744
V000018,S11,in,1993.9498579303258
V000017,S11,out,1993.9498579303258
V000011,S17,in,2001.8628592071013
V000023,S05,out,2007.9877513301087
V000029,S03,in,2008.1131322553094
V000028,S03,out,2008.1131322553094
V000032,S02,in,2009.1341329871748
V000031,S02,out,2009.1341329871748
V000012,S16,in,2009.2121579975744
V000025,S04,in,2009.8752076708051
V000024,S04,out,2009.8752076708051
V000024,S05,in,2010.9877513301087
V000034,S01,in,2013.5970176258893
V000033,S01,out,2013.5970176258893
V000023,S06,in,2016.3138633342194
V000022,S06,out,2016.3138633342194
V000021,S08,out,2021.6638420033064
V000020,S09,out,2024.283417927542
V000021,S09,in,2025.283417927542
V000015,S13,out,2027.0930886798374
V000018,S11,out,2046.9498579303258
V000019,S11,in,2046.9498579303258
V000016,S13,in,2048.0930886798374
V000017,S12,in,2048.226974598345
V000016,S12,out,2048.226974598345
V000011,S18,in,2050.7159578408528
V000010,S18,out,2050.7159578408528
V000011,S17,out,2050.8628592071013
V000010,S19,in,2059.6093997249295
V000024,S05,out,2062.9877513301085
V000012,S16,out,2065.2121579975746
V000023,S06,out,2065.313863334219
V000030,S03,in,2069.1131322553097
V000029,S03,out,2069.1131322553097
V000024,S06,in,2069.313863334219
V000032,S02,out,2070.134132987175
V000033,S02,in,2070.134132987175
V000026,S04,in,2070.875207670805
V000025,S04,out,2070.875207670805
V000034,S01,out,2071.5970176258893
V000035,S01,in,2071.5970176258893
V000025,S05,in,2071.9877513301085
V000013,S16,in,2072.2121579975746
V000012,S17,in,2073.8628592071013
V000021,S09,out,2074.283417927542
V000023,S07,in,2082.823369680236
V000022,S07,out,2082.823369680236
V000022,S08,in,2089.6638420033064
V000011,S18,out,2102.7159578408528
V000020,S11,in,2103.949857930326
V000019,S11,out,2103.949857930326
V000017,S12,out,2105.226974598345
V000018,S12,in,2105.226974598345
V000016,S13,out,2108.0930886798374
V000017,S13,in,2108.0930886798374
V000012,S18,in,2111.7159578408528
V000012,S17,out,2112.8628592071013
V000010,S20,in,2114.9416032917934
V000010,S19,out,2115.6093997249295
V000011,S19,in,2115.6093997249295
V000024,S06,out,2120.313863334219
V000027,S04,in,2124.875207670805
V000026,S04,out,2124.875207670805
V000031,S03,in,2125.1131322553097
V000030,S03,out,2125.1131322553097
V000033,S02,out,2126.134132987175
V000034,S02,in,2126.134132987175
V000035,S01,out,2127.5970176258893
V000036,S01,in,2127.5970176258893
V000023,S07,out,2128.823369680236
V000024,S07,in,2128.823369680236
V000013,S16,out,2129.2121579975746
V000026,S05,in,2130.9877513301085
V000025,S05,out,2130.9877513301085
V000025,S06,in,2137.313863334219
V000013,S17,in,2137.8628592071013
V000014,S16,in,2143.2121579975746
V000022,S08,out,2146.6638420033064
V000023,S08,in,2146.6638420033064
V000022,S09,in,2149.283417927542
V000017,S13,out,2150.0930886798374
V000020,S11,out,2154.949857930326
V000021,S11,in,2158.949857930326
V000012,S18,out,2160.7159578408528
V000018,S13,in,2167.0930886798374
V000019,S12,in,2168.226974598345
V000018,S12,out,2168.226974598345
V000010,S20,out,2174.9416032917934
V000012,S19,in,2180.6093997249295
V000011,S19,out,2180.6093997249295
V000011,S20,in,2180.9416032917934
V000025,S06,out,2181.313863334219
V000013,S18,in,2183.7159578408528
V000013,S17,out,2183.8628592071013
V000032,S03,in,2184.1131322553097
V000031,S03,out,2184.1131322553097
V000034,S02,out,2185.134132987175
V000035,S02,in,2185.134132987175
V000028,S04,in,2185.875207670805
V000027,S04,out,2185.875207670805
V000027,S05,in,2187.9877513301085
V000026,S05,out,2187.9877513301085
V000025,S07,in,2191.823369680236
V000024,S07,out,2191.823369680236
V000036,S01,out,2193.5970176258893
V000037,S01,in,2193.5970176258893
V000026,S06,in,2194.313863334219
V000021,S11,out,2195.949857930326
V000022,S09,out,2196.283417927542
V000014,S16,out,2201.2121579975746
V000015,S16,in,2201.2121579975746
V000023,S08,out,2203.6638420033064
V000024,S08,in,2203.6638420033064
V000023,S09,in,2207.283417927542
V000014,S17,in,2209.8628592071013
V000019,S12,out,2219.226974598345
V000020,S12,in,2219.226974598345
V000011,S20,out,2224.9416032917934
V000018,S13,out,2226.0930886798374
V000019,S13,in,2226.0930886798374
V000013,S18,out,2233.7159578408528
V000012,S19,out,2238.6093997249295
V000012,S20,in,2238.9416032917934
V000027,S05,out,2239.9877513301085
V000013,S19,in,2242.6093997249295
V000033,S03,in,2244.1131322553097
V000032,S03,out,2244.1131322553097
V000036,S02,in,2245.134132987175
V000035,S02,out,2245.134132987175
V000027,S06,in,2245.313863334219
V000026,S06,out,2245.313863334219
V000029,S04,in,2245.875207670805
V000028,S04,out,2245.875207670805
V000028,S05,in,2246.9877513301085
V000025,S07,out,2247.823369680236
V000015,S16,out,2250.2121579975746
V000026,S07,in,2250.823369680236
V000023,S09,out,2251.283417927542
V000037,S01,out,2253.5970176258893
V000038,S01,in,2253.5970176258893
V000014,S18,in,2254.7159578408528
V000014,S17,out,2254.8628592071013
V000025,S08,in,2259.6638420033064
V000024,S08,out,2259.6638420033064
V000015,S17,in,2259.8628592071013
V000024,S09,in,2263.283417927542
V000016,S16,in,2265.2121579975746
V000022,S11,in,2267.949857930326
V000020,S12,out,2275.226974598345
V000021,S12,in,2275.226974598345
V000013,S19,out,2295.6093997249295
V000012,S20,out,2296.9416032917934
V000013,S20,in,2296.9416032917934
V000028,S05,out,2298.9877513301085
V000019,S13,out,2299.0930886798374
V000020,S13,in,2299.0930886798374
V000027,S06,out,2301.313863334219
V000014,S18,out,2304.7159578408528
V000026,S07,out,2304.823369680236
V000027,S07,in,2306.823369680236
V000028,S06,in,2308.313863334219
V000033,S03,out,2310.1131322553097
V000034,S03,in,2310.1131322553097
V000036,S02,out,2311.134132987175
V000037,S02,in,2311.134132987175
V000030,S04,in,2311.875207670805
V000029,S04,out,2311.875207670805
V000029,S05,in,2311.9877513301085
V000038,S01,out,2312.5970176258893
V000039,S01,in,2312.5970176258893
