run,station_id,tool_id,program_id,vin,t_s,target_nm,spec_low_nm,spec_high_nm,torque_nm,angle_deg,current_a,temp_c,cycle_s,result_status
L1_run_001,S04,L1_run_001-TS04,PF100,V000019,1350.0,54.5,48.45,60.54,54.632,94.946,11.288,38.956,3.268,OK
L1_run_001,S04,L1_run_001-TS04,PF100,V000020,1420.0,54.5,48.45,60.54,53.232,91.743,10.735,37.014,3.275,OK
L1_run_001,S04,L1_run_001-TS04,PF100,V000021,1471.0,54.5,48.45,60.54,58.079,90.328,11.704,36.316,2.84,OK
L1_run_001,S04,L1_run_001-TS04,PF100,V000022,1894.0,54.5,48.45,60.54,56.007,88.832,11.249,36.86,2.901,OK
L1_run_001,S04,L1_run_001-TS04,PF100,V000023,1946.0,54.5,48.45,60.54,54.104,91.891,12.09,35.973,2.948,OK
L1_run_001,S04,L1_run_001-TS04,PF100,V000024,2010.0,54.5,48.45,60.54,55.262,94.258,11.188,38.977,3.195,OK
L1_run_001,S04,L1_run_001-TS04,PF100,V000025,2071.0,54.5,48.45,60.54,53.48,94.753,11.166,34.772,3.406,OK
L1_run_001,S04,L1_run_001-TS04,PF100,V000026,2125.0,54.5,48.45,60.54,54.253,94.939,11.353,36.974,3.113,OK
L1_run_001,S04,L1_run_001-TS04,PF100,V000027,2186.0,54.5,48.45,60.54,55.024,91.604,11.062,36.392,2.955,OK
L1_run_001,S04,L1_run_001-TS04,PF100,V000028,2246.0,54.5,48.45,60.54,54.542,91.214,11.815,38.55,3.305,OK
L1_run_001,S04,L1_run_001-TS04,PF100,V000029,2312.0,54.5,48.45,60.54,53.689,91.464,11.932,38.699,2.913,OK
L1_run_001,S04,L1_run_001-TS04,PF100,V000030,2370.0,54.5,48.45,60.54,52.766,91.632,11.368,37.521,2.948,OK
L1_run_001,S04,L1_run_001-TS04,PF100,V000031,2431.0,54.5,48.45,60.54,52.03,95.48,11.202,35.278,3.324,OK
L1_run_001,S04,L1_run_001-TS04,PF100,V000032,2491.0,54.5,48.45,60.54,52.82,89.808,11.208,37.275,3.113,OK
L1_run_001,S04,L1_run_001-TS04,PF100,V000033,2553.0,54.5,48.45,60.54,53.195,94.496,11.291,37.923,2.956,OK
L1_run_001,S04,L1_run_001-TS04,PF100,V000034,2611.0,54.5,48.45,60.54,57.464,94.14,11.966,38.391,3.208,OK
L1_run_001,S04,L1_run_001-TS04,PF100,V000035,2666.0,54.5,48.45,60.54,53.89,92.816,11.223,35.964,2.911,OK
L1_run_001,S04,L1_run_001-TS04,PF100,V000036,2724.0,54.5,48.45,60.54,53.416,87.647,10.801,36.997,3.223,OK
L1_run_001,S04,L1_run_001-TS04,PF100,V000037,2787.0,54.5,48.45,60.54,55.801,92.511,10.7,37.28,2.961,OK
L1_run_001,S04,L1_run_001-TS04,PF100,V000038,2845.0,54.5,48.45,60.54,55.75,91.174,11.85,37.117,3.155,OK
L1_run_001,S04,L1_run_001-TS04,PF100,V000039,2913.0,54.5,48.45,60.54,53.513,92.905,11.02,38.502,2.967,OK
L1_run_001,S04,L1_run_001-TS04,PF100,V000040,2961.0,54.5,48.45,60.54,54.788,91.096,11.038,37.2,3.387,OK
L1_run_001,S04,L1_run_001-TS04,PF100,V000041,3030.0,54.5,48.45,60.54,54.799,90.94,11.925,36.679,3.262,OK
L1_run_001,S04,L1_run_001-TS04,PF100,V000042,3093.0,54.5,48.45,60.54,54.963,93.847,11.103,35.255,3.147,OK
L1_run_001,S04,L1_run_001-TS04,PF100,V000043,3150.0,54.5,48.45,60.54,55.05,89.107,11.311,34.848,3.228,OK
L1_run_001,S04,L1_run_001-TS04,PF100,V000044,3205.0,54.5,48.45,60.54,57.32,88.865,12.041,37.996,3.326,OK
L1_run_001,S04,L1_run_001-TS04,PF100,V000045,3266.0,54.5,48.45,60.54,54.727,91.563,11.344,37.567,2.835,OK
L1_run_001,S04,L1_run_001-TS04,PF100,V000046,3334.0,54.5,48.45,60.54,55.823,88.857,12.015,37.554,2.727,OK
L1_run_001,S04,L1_run_001-TS04,PF100,V000047,3397.0,54.5,48.45,60.54,54.603,96.823,11.506,34.82,3.033,OK
L1_run_001,S04,L1_run_001-TS04,PF100,V000048,3459.0,54.5,48.45,60.54,57.424,95.251,12.104,40.091,3.264,OK
L1_run_001,S04,L1_run_001-TS04,PF100,V000049,3510.0,54.5,48.45,60.54,56.088,100.995,11.225,37.721,3.064,OK
L1_run_001,S04,L1_run_001-TS04,PF100,V000050,3577.0,54.5,48.45,60.54,54.895,86.98,12.039,35.461,3.034,OK
L1_run_001,S04,L1_run_001-TS04,PF100,V000051,3651.0,54.5,48.45,60.54,55.847,92.935,11.881,34.066,2.574,OK
L1_run_001,S04,L1_run_001-TS04,PF100,V000052,3710.0,54.5,48.45,60.54,53.269,90.625,11.084,34.786,2.903,OK
L1_run_001,S04,L1_run_001-TS04,PF100,V000053,3773.0,54.5,48.45,60.54,53.646,93.605,11.716,38.354,3.116,OK
L1_run_001,S04,L1_run_001-TS04,PF100,V000054,3826.0,54.5,48.45,60.54,58.223,93.894,11.093,37.804,3.096,OK
L1_run_001,S04,L1_run_001-TS04,PF100,V000055,3880.0,54.5,48.45,60.54,52.579,98.113,11.773,33.723,3.093,OK
L1_run_001,S04,L1_run_001-TS04,PF100,V000056,3946.0,54.5,48.45,60.54,56.407,85.294,11.399,33.366,3.144,OK
L1_run_001,S04,L1_run_001-TS04,PF100,V000057,4002.0,54.5,48.45,60.54,53.089,92.654,12.035,37.932,3.277,OK
L1_run_001,S04,L1_run_001-TS04,PF100,V000058,4064.0,54.5,48.45,60.54,54.82,90.378,11.369,37.683,3.207,OK
L1_run_001,S04,L1_run_001-TS04,PF100,V000059,4116.0,54.5,48.45,60.54,51.845,92.763,10.377,39.94,3.166,OK
L1_run_001,S04,L1_run_001-TS04,PF100,V000060,4172.0,54.5,48.45,60.54,55.226,96.22,12.17,37.723,2.899,OK
L1_run_001,S04,L1_run_001-TS04,PF100,V000061,4219.0,54.5,48.45,60.54,53.411,93.419,11.71,40.589,3.085,OK
L1_run_001,S04,L1_run_001-TS04,PF100,V000062,4287.0,54.5,48.45,60.54,55.147,95.525,11.932,34.38,3.176,OK
L1_run_001,S04,L1_run_001-TS04,PF100,V000063,4349.0,54.5,48.45,60.54,53.649,90.411,11.62,36.817,2.967,OK
L1_run_001,S04,L1_run_001-TS04,PF100,V000064,4403.0,54.5,48.45,60.54,52.311,97.805,10.828,35.446,3.567,OK
L1_run_001,S04,L1_run_001-TS04,PF100,V000065,4464.0,54.5,48.45,60.54,52.767,90.163,10.532,35.741,3.109,OK
L1_run_001,S04,L1_run_001-TS04,PF100,V000066,4519.0,54.5,48.45,60.54,53.832,91.199,11.748,34.682,3.088,OK
L1_run_001,S04,L1_run_001-TS04,PF100,V000067,4576.0,54.5,48.45,60.54,53.662,87.3,11.799,37.185,3.319,OK
L1_run_001,S04,L1_run_001-TS04,PF100,V000068,4635.0,54.5,48.45,60.54,54.291,95.503,11.504,36.003,3.051,OK
L1_run_001,S04,L1_run_001-TS04,PF100,V000069,4688.0,54.5,48.45,60.54,53.605,89.014,12.539,36.876,3.121,OK
L1_run_001,S04,L1_run_001-TS04,PF100,V000070,4744.0,54.5,48.45,60.54,55.388,86.839,11.781,38.192,3.099,OK
L1_run_001,S04,L1_run_001-TS04,PF100,V000071,4798.0,54.5,48.45,60.54,56.074,94.714,11.518,36.226,3.216,OK
L1_run_001,S04,L1_run_001-TS04,PF100,V000072,4852.0,54.5,48.45,60.54,55.543,87.455,11.538,39.021,3.407,OK
L1_run_001,S04,L1_run_001-TS04,PF100,V000073,4910.0,54.5,48.45,60.54,55.308,92.49,11.993,38.809,3.007,OK
L1_run_001,S04,L1_run_001-TS04,PF100,V000074,4971.0,54.5,48.45,60.54,57.516,93.195,11.156,34.744,3.046,OK
L1_run_001,S04,L1_run_001-TS04,PF100,V000075,5035.0,54.5,48.45,60.54,52.892,96.695,11.291,37.946,3.158,OK
L1_run_001,S04,L1_run_001-TS04,PF100,V000076,5092.0,54.5,48.45,60.54,54.372,91.822,11.127,36.561,2.876,OK
L1_run_001,S04,L1_run_001-TS04,PF100,V000077,5148.0,54.5,48.45,60.54,52.91,92.149,11.047,39.081,3.081,OK
L1_run_001,S04,L1_run_001-TS04,PF100,V000078,5204.0,54.5,48.45,60.54,53.422,91.463,11.178,34.392,3.056,OK
L1_run_001,S04,L1_run_001-TS04,PF100,V000079,5259.0,54.5,48.45,60.54,55.303,95.29,10.843,37.403,2.829,OK
L1_run_001,S04,L1_run_001-TS04,PF100,V000080,5311.0,54.5,48.45,60.54,53.897,87.047,11.427,38.51,2.594,OK
L1_run_001,S04,L1_run_001-TS04,PF100,V000081,5375.0,54.5,48.45,60.54,55.148,93.978,11.696,37.728,3.083,OK
L1_run_001,S04,L1_run_001-TS04,PF100,V000082,5438.0,54.5,48.45,60.54,50.545,93.437,11.545,36.299,3.102,OK
L1_run_001,S04,L1_run_001-TS04,PF100,V000083,5494.0,54.5,48.45,60.54,54.398,94.145,11.076,35.637,3.347,OK
L1_run_001,S04,L1_run_001-TS04,PF100,V000084,5556.0,54.5,48.45,60.54,54.327,88.37,11.38,36.365,3.217,OK
L1_run_001,S04,L1_run_001-TS04,PF100,V000085,5621.0,54.5,48.45,60.54,54.738,93.99,10.617,34.766,3.023,OK
L1_run_001,S04,L1_run_001-TS04,PF100,V000086,5683.0,54.5,48.45,60.54,52.999,94.349,11.103,35.935,3.277,OK
L1_run_001,S04,L1_run_001-TS04,PF100,V000087,5782.0,54.5,48.45,60.54,55.141,88.416,11.882,35.666,2.989,OK
L1_run_001,S04,L1_run_001-TS04,PF100,V000088,5840.0,54.5,48.45,60.54,50.533,94.147,11.283,32.688,2.93,OK
L1_run_001,S04,L1_run_001-TS04,PF100,V000089,5900.0,54.5,48.45,60.54,55.751,97.748,11.423,36.255,3.365,OK
L1_run_001,S04,L1_run_001-TS04,PF100,V000090,5965.0,54.5,48.45,60.54,54.067,90.842,11.398,37.165,2.803,OK
L1_run_001,S04,L1_run_001-TS04,PF100,V000091,6027.0,54.5,48.45,60.54,55.624,95.214,12.045,35.033,2.939,OK
L1_run_001,S04,L1_run_001-TS04,PF100,V000092,6085.0,54.5,48.45,60.54,53.453,92.332,11.616,36.058,3.183,OK
L1_run_001,S04,L1_run_001-TS04,PF100,V000093,6142.0,54.5,48.45,60.54,53.4,95.521,11.321,35.953,3.053,OK
L1_run_001,S04,L1_run_001-TS04,PF100,V000094,6214.0,54.5,48.45,60.54,55.05,95.272,11.418,36.427,3.215,OK
L1_run_001,S04,L1_run_001-TS04,PF100,V000095,6404.0,54.5,48.45,60.54,54.668,96.22,11.427,37.634,2.984,OK
L1_run_001,S04,L1_run_001-TS04,PF100,V000096,6469.0,54.5,48.45,60.54,56.399,85.431,12.001,39.01,2.926,OK
L1_run_001,S04,L1_run_001-TS04,PF100,V000097,6529.0,54.5,48.45,60.54,55.756,93.603,11.737,37.438,3.144,OK
L1_run_001,S04,L1_run_001-TS04,PF100,V000098,6584.0,54.5,48.45,60.54,53.66,90.528,11.395,37.446,3.209,OK
L1_run_001,S04,L1_run_001-TS04,PF100,V000099,6643.0,54.5,48.45,60.54,53.554,92.32,11.626,35.586,3.161,OK
L1_run_001,S04,L1_run_001-TS04,PF100,V000100,6704.0,54.5,48.45,60.54,54.305,92.203,11.582,34.22,3.381,OK
L1_run_001,S04,L1_run_001-TS04,PF100,V000101,6762.0,54.5,48.45,60.54,53.644,92.539,11.193,38.453,2.977,OK
L1_run_001,S04,L1_run_001-TS04,PF100,V000102,6827.0,54.5,48.45,60.54,55.484,92.778,11.537,39.071,3.125,OK
L1_run_001,S04,L1_run_001-TS04,PF100,V000103,6888.0,54.5,48.45,60.54,53.141,92.246,11.724,37.732,3.082,OK
L1_run_001,S04,L1_run_001-TS04,PF100,V000104,6951.0,54.5,48.45,60.54,55.278,93.017,12.183,38.261,3.152,OK
L1_run_001,S04,L1_run_001-TS04,PF100,V000105,7008.0,54.5,48.45,60.54,53.83,91.625,11.366,37.38,2.868,OK
L1_run_001,S04,L1_run_001-TS04,PF100,V000106,7129.0,54.5,48.45,60.54,54.903,90.933,12.101,39.723,2.911,OK
L1_run_001,S04,L1_run_001-TS04,PF100,V000107,7194.0,54.5,48.45,60.54,54.912,96.446,11.44,39.181,3.244,OK
L1_run_001,S04,L1_run_001-TS04,PF100,V000108,7863.0,54.5,48.45,60.54,55.814,92.348,10.83,37.287,3.244,OK
L1_run_001,S04,L1_run_001-TS04,PF100,V000109,7926.0,54.5,48.45,60.54,55.223,86.678,11.737,35.367,2.897,OK
L1_run_001,S04,L1_run_001-TS04,PF100,V000110,7991.0,54.5,48.45,60.54,56.827,87.28,11.569,37.383,3.014,OK
L1_run_001,S04,L1_run_001-TS04,PF100,V000111,8045.0,54.5,48.45,60.54,52.264,91.74,11.402,37.359,2.798,OK
L1_run_001,S04,L1_run_001-TS04,PF100,V000112,8108.0,54.5,48.45,60.54,55.619,91.005,12.191,36.59,3.027,OK
L1_run_001,S04,L1_run_001-TS04,PF100,V000113,8179.0,54.5,48.45,60.54,55.945,91.261,11.853,34.468,2.862,OK
L1_run_001,S04,L1_run_001-TS04,PF100,V000114,8244.0,54.5,48.45,60.54,54.989,89.268,11.662,39.745,3.045,OK
L1_run_001,S04,L1_run_001-TS04,PF100,V000115,8293.0,54.5,48.45,60.54,55.044,89.51,11.184,38.842,2.929,OK
L1_run_001,S04,L1_run_001-TS04,PF100,V000116,8357.0,54.5,48.45,60.54,53.061,91.127,12.283,37.324,3.217,OK
L1_run_001,S04,L1_run_001-TS04,PF100,V000117,8421.0,54.5,48.45,60.54,54.627,88.517,11.534,37.542,3.028,OK
L1_run_001,S04,L1_run_001-TS04,PF100,V000118,8477.0,54.5,48.45,60.54,54.897,89.626,11.449,37.326,2.795,OK
L1_run_001,S04,L1_run_001-TS04,PF100,V000119,8529.0,54.5,48.45,60.54,56.347,92.769,12.2,36.004,3.287,OK
L1_run_001,S04,L1_run_001-TS04,PF100,V000120,8586.0,54.5,48.45,60.54,54.388,95.591,11.684,36.419,3.17,OK
L1_run_001,S04,L1_run_001-TS04,PF100,V000121,8645.0,54.5,48.45,60.54,57.595,93.819,11.001,35.259,3.267,OK
L1_run_001,S04,L1_run_001-TS04,PF100,V000122,8708.0,54.5,48.45,60.54,57.034,91.414,11.352,37.264,3.149,OK
L1_run_001,S04,L1_run_001-TS04,PF100,V000123,8768.0,54.5,48.45,60.54,52.115,93.066,11.081,38.238,3.064,OK
L1_run_001,S04,L1_run_001-TS04,PF100,V000124,8826.0,54.5,48.45,60.54,54.263,90.525,11.066,35.797,3.246,OK
L1_run_001,S04,L1_run_001-TS04,PF100,V000125,8889.0,54.5,48.45,60.54,57.157,85.814,11.704,36.924,3.352,OK
L1_run_001,S04,L1_run_001-TS04,PF100,V000126,9135.0,54.5,48.45,60.54,52.99,93.2,10.321,33.933,3.217,OK
L1_run_001,S04,L1_run_001-TS04,PF100,V000127,9197.0,54.5,48.45,60.54,55.352,96.919,11.053,38.077,3.03,OK
L1_run_001,S04,L1_run_001-TS04,PF100,V000128,9252.0,54.5,48.45,60.54,56.162,89.534,11.307,34.825,3.128,OK
L1_run_001,S04,L1_run_001-TS04,PF100,V000129,9309.0,54.5,48.45,60.54,56.018,91.107,11.723,36.919,2.793,OK
L1_run_001,S04,L1_run_001-TS04,PF100,V000130,9359.0,54.5,48.45,60.54,54.701,88.696,10.86,36.445,3.285,OK
L1_run_001,S04,L1_run_001-TS04,PF100,V000131,9419.0,54.5,48.45,60.54,53.971,86.958,11.535,37.284,3.234,OK
L1_run_001,S04,L1_run_001-TS04,PF100,V000132,9482.0,54.5,48.45,60.54,53.934,92.713,11.644,35.328,3.219,OK
L1_run_001,S04,L1_run_001-TS04,PF100,V000133,9529.0,54.5,48.45,60.54,57.07,86.323,12.719,33.133,2.963,OK
L1_run_001,S04,L1_run_001-TS04,PF100,V000134,9585.0,54.5,48.45,60.54,55.935,91.063,11.975,36.223,3.228,OK
L1_run_001,S04,L1_run_001-TS04,PF100,V000135,9649.0,54.5,48.45,60.54,55.268,89.299,11.871,37.747,2.983,OK
L1_run_001,S04,L1_run_001-TS04,PF100,V000136,9705.0,54.5,48.45,60.54,54.449,93.094,11.761,36.142,3.011,OK
L1_run_001,S04,L1_run_001-TS04,PF100,V000137,9759.0,54.5,48.45,60.54,56.411,90.66,11.765,36.347,2.774,OK
L1_run_001,S04,L1_run_001-TS04,PF100,V000138,9826.0,54.5,48.45,60.54,54.701,93.407,12.505,38.665,3.224,OK
L1_run_001,S04,L1_run_001-TS04,PF100,V000139,9893.0,54.5,48.45,60.54,55.321,86.149,11.128,36.281,3.278,OK
L1_run_001,S04,L1_run_001-TS04,PF100,V000140,9952.0,54.5,48.45,60.54,56.301,91.076,12.263,36.023,3.336,OK
L1_run_001,S04,L1_run_001-TS04,PF100,V000141,10014.0,54.5,48.45,60.54,57.016,89.805,11.896,38.549,2.863,OK
L1_run_001,S04,L1_run_001-TS04,PF100,V000142,10066.0,54.5,48.45,60.54,53.006,93.086,10.96,38.226,3.085,OK
L1_run_001,S04,L1_run_001-TS04,PF100,V000143,10131.0,54.5,48.45,60.54,52.212,91.785,11.498,40.85,2.996,OK
L1_run_001,S04,L1_run_001-TS04,PF100,V000144,10184.0,54.5,48.45,60.54,52.752,89.705,11.476,36.788,3.486,OK
L1_run_001,S04,L1_run_001-TS04,PF100,V000145,10249.0,54.5,48.45,60.54,53.939,92.702,12.229,37.082,3.249,OK
L1_run_001,S04,L1_run_001-TS04,PF100,V000146,10312.0,54.5,48.45,60.54,55.868,84.475,11.146,38.985,3.164,OK
L1_run_001,S04,L1_run_001-TS04,PF100,V000147,10377.0,54.5,48.45,60.54,53.008,95.97,11.27,37.908,2.914,OK
L1_run_001,S04,L1_run_001-TS04,PF100,V000148,10435.0,54.5,48.45,60.54,53.677,89.825,11.385,37.821,3.267,OK
L1_run_001,S04,L1_run_001-TS04,PF100,V000149,10494.0,54.5,48.45,60.54,53.054,87.994,12.28,37.246,2.87,OK
L1_run_001,S04,L1_run_001-TS04,PF100,V000150,10552.0,54.5,48.45,60.54,53.996,95.579,10.883,38.147,2.681,OK
L1_run_001,S04,L1_run_001-TS04,PF100,V000151,10607.0,54.5,48.45,60.54,56.486,92.252,11.282,41.402,3.095,OK
L1_run_001,S04,L1_run_001-TS04,PF100,V000152,10789.0,54.5,48.45,60.54,54.179,88.775,10.959,35.024,3.217,OK
L1_run_001,S04,L1_run_001-TS04,PF100,V000153,11056.0,54.5,48.45,60.54,55.164,88.67,11.142,36.38,3.133,OK
L1_run_001,S04,L1_run_001-TS04,PF100,V000154,11115.0,54.5,48.45,60.54,53.906,91.676,11.557,35.088,3.238,OK
L1_run_001,S04,L1_run_001-TS04,PF100,V000155,11172.0,54.5,48.45,60.54,53.749,89.642,11.815,39.104,3.07,OK
L1_run_001,S04,L1_run_001-TS04,PF100,V000156,11237.0,54.5,48.45,60.54,53.262,89.177,11.302,36.347,3.615,OK
L1_run_001,S04,L1_run_001-TS04,PF100,V000157,11297.0,54.5,48.45,60.54,55.208,90.541,11.912,37.501,3.319,OK
L1_run_001,S04,L1_run_001-TS04,PF100,V000158,11361.0,54.5,48.45,60.54,53.925,89.188,11.379,36.393,3.13,OK
L1_run_001,S04,L1_run_001-TS04,PF100,V000159,11415.0,54.5,48.45,60.54,54.724,93.522,11.469,37.747,3.317,OK
L1_run_001,S04,L1_run_001-TS04,PF100,V000160,11467.0,54.5,48.45,60.54,52.661,100.403,11.674,38.635,3.218,OK
L1_run_001,S04,L1_run_001-TS04,PF100,V000161,11531.0,54.5,48.45,60.54,53.779,97.775,11.248,39.278,3.045,OK
L1_run_001,S04,L1_run_001-TS04,PF100,V000162,11589.0,54.5,48.45,60.54,55.579,88.431,11.279,37.45,3.251,OK
L1_run_001,S04,L1_run_001-TS04,PF100,V000163,11652.0,54.5,48.45,60.54,55.229,90.954,11.803,36.467,3.169,OK
L1_run_001,S04,L1_run_001-TS04,PF100,V000164,11713.0,54.5,48.45,60.54,54.344,93.5,11.611,38.688,3.169,OK
L1_run_001,S04,L1_run_001-TS04,PF100,V000165,11920.0,54.5,48.45,60.54,54.602,95.329,11.413,38.027,3.18,OK
L1_run_001,S04,L1_run_001-TS04,PF100,V000166,11982.0,54.5,48.45,60.54,53.049,95.99,11.16,39.676,2.821,OK
L1_run_001,S04,L1_run_001-TS04,PF100,V000167,12035.0,54.5,48.45,60.54,51.777,94.283,10.631,37.148,3.116,OK
L1_run_001,S04,L1_run_001-TS04,PF100,V000168,12098.0,54.5,48.45,60.54,53.572,91.138,11.619,37.305,2.766,OK
L1_run_001,S04,L1_run_001-TS04,PF100,V000169,12157.0,54.5,48.45,60.54,53.429,98.545,11.154,37.921,3.164,OK
L1_run_001,S04,L1_run_001-TS04,PF100,V000170,12212.0,54.5,48.45,60.54,56.372,91.39,12.255,38.147,2.989,OK
L1_run_001,S04,L1_run_001-TS04,PF100,V000171,12267.0,54.5,48.45,60.54,53.141,88.289,10.607,37.44,3.272,OK
L1_run_001,S04,L1_run_001-TS04,PF100,V000172,12323.0,54.5,48.45,60.54,51.964,96.497,10.606,36.661,3.021,OK
L1_run_001,S04,L1_run_001-TS04,PF100,V000173,12376.0,54.5,48.45,60.54,55.141,96.342,11.371,36.949,3.124,OK
L1_run_001,S04,L1_run_001-TS04,PF100,V000174,12437.0,54.5,48.45,60.54,52.5,95.02,10.97,34.55,2.919,OK
L1_run_001,S04,L1_run_001-TS04,PF100,V000175,12500.0,54.5,48.45,60.54,55.924,87.42,11.279,38.813,3.055,OK
L1_run_001,S04,L1_run_001-TS04,PF100,V000176,12554.0,54.5,48.45,60.54,51.506,94.283,11.041,39.242,3.106,OK
L1_run_001,S04,L1_run_001-TS04,PF100,V000177,12610.0,54.5,48.45,60.54,55.108,87.834,11.664,38.473,2.91,OK
L1_run_001,S04,L1_run_001-TS04,PF100,V000178,12668.0,54.5,48.45,60.54,55.001,92.38,11.114,36.911,3.424,OK
L1_run_001,S04,L1_run_001-TS04,PF100,V000179,12734.0,54.5,48.45,60.54,49.87,97.982,11.165,38.445,3.063,OK
L1_run_001,S04,L1_run_001-TS04,PF100,V000180,12806.0,54.5,48.45,60.54,55.792,90.158,11.919,42.711,3.423,OK
L1_run_001,S04,L1_run_001-TS04,PF100,V000181,12861.0,54.5,48.45,60.54,57.124,89.853,11.419,40.539,2.823,OK
L1_run_001,S04,L1_run_001-TS04,PF100,V000182,12928.0,54.5,48.45,60.54,54.262,91.98,11.98,36.505,2.832,OK
L1_run_001,S04,L1_run_001-TS04,PF100,V000183,12989.0,54.5,48.45,60.54,55.233,89.647,11.975,38.336,3.144,OK
L1_run_001,S04,L1_run_001-TS04,PF100,V000184,13229.0,54.5,48.45,60.54,54.925,89.021,11.59,38.451,3.061,OK
L1_run_001,S04,L1_run_001-TS04,PF100,V000185,13288.0,54.5,48.45,60.54,53.684,93.128,10.933,38.103,3.135,OK
L1_run_001,S04,L1_run_001-TS04,PF100,V000186,13342.0,54.5,48.45,60.54,56.338,88.334,11.708,39.584,3.198,OK
L1_run_001,S04,L1_run_001-TS04,PF100,V000187,13395.0,54.5,48.45,60.54,56.359,87.096,11.46,37.763,3.201,OK
L1_run_001,S04,L1_run_001-TS04,PF100,V000188,13463.0,54.5,48.45,60.54,53.164,99.086,11.425,36.833,3.161,OK
L1_run_001,S04,L1_run_001-TS04,PF100,V000189,13525.0,54.5,48.45,60.54,55.911,92.525,11.742,36.959,3.49,OK
L1_run_001,S04,L1_run_001-TS04,PF100,V000190,13586.0,54.5,48.45,60.54,54.5,88.872,12.116,36.86,3.543,OK
L1_run_001,S04,L1_run_001-TS04,PF100,V000191,13653.0,54.5,48.45,60.54,55.029,87.944,11.807,36.191,3.324,OK
L1_run_001,S04,L1_run_001-TS04,PF100,V000192,16319.0,54.5,48.45,60.54,53.154,89.308,11.253,38.077,2.674,OK
L1_run_001,S04,L1_run_001-TS04,PF100,V000193,16390.0,54.5,48.45,60.54,52.872,92.815,11.361,36.707,2.892,OK
L1_run_001,S04,L1_run_001-TS04,PF100,V000194,16618.0,54.5,48.45,60.54,55.084,92.738,11.573,38.352,2.679,OK
L1_run_001,S04,L1_run_001-TS04,PF100,V000195,16713.0,54.5,48.45,60.54,54.77,96.703,10.765,40.86,3.241,OK
L1_run_001,S04,L1_run_001-TS04,PF100,V000196,16883.0,54.5,48.45,60.54,55.225,94.833,11.089,38.842,3.146,OK
L1_run_001,S04,L1_run_001-TS04,PF100,V000197,16946.0,54.5,48.45,60.54,55.862,88.065,12.088,40.926,2.982,OK
L1_run_001,S04,L1_run_001-TS04,PF100,V000198,17008.0,54.5,48.45,60.54,55.06,94.368,11.162,35.959,2.971,OK
L1_run_001,S04,L1_run_001-TS04,PF100,V000199,17088.0,54.5,48.45,60.54,55.343,88.988,11.428,40.811,3.028,OK
L1_run_001,S04,L1_run_001-TS04,PF100,V000200,17173.0,54.5,48.45,60.54,53.956,84.777,11.077,39.521,2.993,OK
