run,at_s,buffer,station,predicted_min,actual_min,confidence
L1_run_004,13200,B14,S14,38.6,,0.062
L1_run_004,14100,B16,S16,33.9,1.2,0.045
L1_run_004,15000,B14,S14,4.5,,0.219
L1_run_004,16800,B09,S09,23.5,,0.024
L1_run_004,21300,B14,S14,14.6,,0.374
L1_run_004,24000,B16,S16,3.3,5.966666666666667,0.243
L1_run_005,4200,B06,S06,14.9,2.9166666666666665,0.291
L1_run_005,4200,B03,S03,27.0,,0.212
L1_run_005,6000,B03,S03,10.7,46.35,0.302
L1_run_005,6900,B13,S13,19.2,20.3,0.097
L1_run_005,6900,B15,S15,25.6,28.0,0.191
L1_run_005,8700,B03,S03,10.7,1.35,0.316
L1_run_005,15000,B17,S17,28.7,,0.007
L1_run_005,15000,B19,S19,39.5,,0.017
L1_run_005,18600,B03,S03,12.6,1.1166666666666667,0.182
L1_run_005,21300,B17,S17,31.0,7.85,0.011
L1_run_005,23100,B19,S19,29.7,,0.214
L1_run_005,24000,B17,S17,20.9,4.65,0.011
L1_run_005,24900,B16,S16,12.6,,0.288
L1_run_006,4200,B09,S09,6.0,,0.578
L1_run_006,5100,B07,S07,5.2,,0.65
L1_run_006,6000,B12,S12,11.7,3.783333333333333,0.289
L1_run_006,6900,B11,S11,11.0,,0.337
L1_run_006,7800,B04,S04,9.0,24.866666666666667,0.03
L1_run_006,7800,B14,S14,11.3,,0.056
L1_run_006,8700,B04,S04,23.8,9.866666666666667,0.058
L1_run_006,9600,B19,S19,25.0,,0.203
L1_run_006,10500,B07,S07,35.4,9.316666666666666,0.142
L1_run_006,10500,B09,S09,35.5,,0.045
L1_run_006,10500,B05,S05,41.7,42.916666666666664,0.035
L1_run_006,12300,B12,S12,19.2,,0.135
L1_run_006,13200,B14,S14,23.4,,0.094
L1_run_006,15000,B15,S15,16.1,,0.021
L1_run_006,15000,B12,S12,34.1,,0.027
L1_run_006,16800,B09,S09,8.4,40.416666666666664,0.208
L1_run_006,17700,B13,S13,6.5,13.616666666666667,0.325
L1_run_006,17700,B18,S18,18.3,,0.025
L1_run_006,18600,B12,S12,4.5,,0.134
L1_run_006,21300,B12,S12,18.3,,0.302
L1_run_006,23100,B17,S17,20.9,,0.083
L1_run_006,24000,B17,S17,20.2,,0.03
L1_run_007,3300,B12,S12,10.8,21.733333333333334,0.273
L1_run_007,4200,B09,S09,18.2,,0.142
L1_run_007,6000,B17,S17,11.4,,0.28
L1_run_007,7800,B14,S14,1.8,11.75,0.529
L1_run_007,7800,B10,S10,6.6,36.233333333333334,0.309
L1_run_007,8700,B07,S07,31.2,25.466666666666665,0.048
L1_run_007,10500,B17,S17,28.6,55.15,0.157
L1_run_007,12300,B14,S14,6.1,,0.568
L1_run_007,25800,B09,S09,5.4,23.15,0.653
L1_run_008,2400,B17,S17,24.3,,0.02
L1_run_008,3300,B18,S18,30.0,,0.08
L1_run_008,7800,B02,S02,18.4,27.083333333333332,0.017
L1_run_008,7800,B09,S09,22.9,31.333333333333332,0.102
L1_run_008,8700,B08,S08,9.4,8.633333333333333,0.336
L1_run_008,8700,B02,S02,11.1,12.083333333333334,0.301
L1_run_008,15000,B11,S11,16.5,,0.035
L1_run_008,15000,B09,S09,16.6,23.033333333333335,0.021
L1_run_008,16800,B19,S19,38.6,,0.016
L1_run_008,24000,B01,S01,4.5,3.5833333333333335,0.168
L1_run_008,24000,B16,S16,26.9,,0.024
L1_run_009,3300,B03,S03,31.4,14.5,0.18
L1_run_009,4200,B11,S11,13.7,,0.258
L1_run_009,5100,B02,S02,10.7,31.466666666666665,0.335
L1_run_009,5100,B08,S08,26.4,3.3333333333333335,0.238
L1_run_009,6000,B14,S14,8.4,14.166666666666666,0.302
L1_run_009,7800,B01,S01,5.5,5.866666666666666,0.139
L1_run_009,7800,B13,S13,14.5,21.816666666666666,0.018
L1_run_009,9600,B17,S17,30.0,12.2,0.182
L1_run_009,12300,B11,S11,24.5,,0.266
L1_run_009,18600,B11,S11,2.0,9.35,0.132
L1_run_009,19500,B18,S18,9.6,,0.274
L1_run_009,24000,B08,S08,39.7,,0.026
L1_run_009,26700,B12,S12,13.0,,0.238
L1_run_010,4200,B11,S11,26.6,,0.169
L1_run_010,6000,B14,S14,10.0,37.78333333333333,0.386
L1_run_010,6000,B01,S01,12.6,,0.247
L1_run_010,7800,B18,S18,12.5,,0.051
L1_run_010,8700,B11,S11,8.3,6.983333333333333,0.422
L1_run_010,9600,B16,S16,10.0,31.583333333333332,0.374
L1_run_010,10500,B15,S15,35.2,22.916666666666668,0.199
L1_run_010,10500,B16,S16,36.7,16.583333333333332,0.109
L1_run_010,11400,B16,S16,13.3,1.5833333333333333,0.182
L1_run_010,13200,B14,S14,13.7,1.4333333333333333,0.219
L1_run_010,18600,B19,S19,25.4,,0.123
L1_run_010,19500,B08,S08,8.6,2.283333333333333,0.208
L1_run_010,21300,B19,S19,13.0,,0.243
L1_run_010,24000,B16,S16,26.8,,0.047
L1_run_011,2400,B07,S07,14.1,10.7,0.2
L1_run_011,3300,B10,S10,26.1,1.1833333333333333,0.065
L1_run_011,4200,B06,S06,24.7,,0.066
L1_run_011,4200,B19,S19,39.5,,0.111
L1_run_011,5100,B11,S11,23.3,33.016666666666666,0.09
L1_run_011,6000,B01,S01,23.8,,0.227
L1_run_011,6900,B09,S09,7.6,15.15,0.407
L1_run_011,6900,B14,S14,12.8,,0.295
L1_run_011,8700,B13,S13,5.4,6.0,0.329
L1_run_011,8700,B17,S17,13.8,,0.01
L1_run_011,9600,B06,S06,9.8,1.95,0.376
L1_run_011,10500,B15,S15,9.7,23.1,0.389
L1_run_011,12300,B18,S18,25.9,,0.255
L1_run_011,12300,B06,S06,32.3,16.116666666666667,0.056
L1_run_011,13200,B06,S06,13.6,1.1166666666666667,0.23
L1_run_011,14100,B07,S07,12.1,45.15,0.049
L1_run_011,14100,B15,S15,14.4,,0.099
L1_run_011,14100,B02,S02,18.3,2.466666666666667,0.138
L1_run_011,15000,B07,S07,9.8,30.15,0.004
L1_run_011,17700,B16,S16,36.1,4.866666666666666,0.008
L1_run_011,20400,B08,S08,25.7,3.216666666666667,0.087
L1_run_011,21300,B06,S06,9.6,12.416666666666666,0.423
L1_run_012,2400,B05,S05,31.2,46.416666666666664,0.162
L1_run_012,3300,B19,S19,26.6,,0.069
L1_run_012,5100,B04,S04,20.9,21.433333333333334,0.362
L1_run_012,6000,B04,S04,5.7,6.433333333333334,0.597
L1_run_012,6900,B08,S08,6.7,,0.483
L1_run_012,7800,B13,S13,34.7,37.083333333333336,0.005
L1_run_012,9600,B14,S14,5.3,16.066666666666666,0.539
L1_run_012,10500,B19,S19,21.0,,0.118
L1_run_012,13200,B13,S13,6.2,9.733333333333333,0.171
L1_run_012,13200,B09,S09,26.5,10.383333333333333,0.017
L1_run_012,15000,B08,S08,2.7,22.5,0.213
L1_run_012,15000,B17,S17,4.6,,0.111
L1_run_012,15000,B14,S14,7.5,27.766666666666666,0.213
L1_run_012,17700,B17,S17,14.5,,0.406
L1_run_012,19500,B17,S17,20.3,,0.37
L1_run_012,23100,B17,S17,5.8,,0.34
L1_run_012,24000,B08,S08,42.3,,0.025
L1_run_012,24900,B19,S19,41.1,,0.125
