run,block,station,p60,became
L1_run_002,6,S10,0.001,0
L1_run_002,6,S01,0.0,0
L1_run_002,6,S02,0.0,0
L1_run_002,6,S03,0.0,0
L1_run_002,6,S04,0.0,0
L1_run_002,6,S06,0.0,0
L1_run_002,6,S07,0.0,0
L1_run_002,6,S08,0.0,0
L1_run_002,6,S16,0.0,0
L1_run_002,6,S18,0.0,0
L1_run_002,6,S20,0.0,0
L1_run_003,2,S08,0.058,0
L1_run_003,2,S01,0.0,0
L1_run_003,2,S03,0.0,0
L1_run_003,2,S04,0.0,0
L1_run_003,2,S05,0.0,0
L1_run_003,2,S06,0.0,0
L1_run_003,2,S07,0.0,0
L1_run_003,2,S09,0.0,0
L1_run_003,2,S10,0.0,0
L1_run_003,2,S11,0.0,0
L1_run_003,2,S13,0.0,0
L1_run_003,2,S14,0.0,0
L1_run_003,2,S15,0.0,0
L1_run_003,2,S16,0.0,0
L1_run_003,2,S19,0.0,0
L1_run_003,2,S20,0.0,1
L1_run_003,3,S11,1.0,0
L1_run_003,3,S09,0.807,0
L1_run_003,3,S06,0.332,0
L1_run_003,3,S07,0.249,0
L1_run_003,3,S20,0.197,1
L1_run_003,3,S18,0.101,0
L1_run_003,3,S16,0.074,0
L1_run_003,3,S05,0.021,0
L1_run_003,3,S19,0.013,0
L1_run_003,3,S10,0.001,0
L1_run_003,3,S01,0.0,0
L1_run_003,3,S04,0.0,0
L1_run_003,3,S08,0.0,0
L1_run_003,3,S13,0.0,0
L1_run_003,3,S14,0.0,0
L1_run_003,3,S15,0.0,0
L1_run_003,4,S19,0.445,0
L1_run_003,4,S01,0.319,0
L1_run_003,4,S05,0.28,0
L1_run_003,4,S03,0.264,0
L1_run_003,4,S06,0.081,0
L1_run_003,4,S16,0.011,0
L1_run_003,4,S18,0.003,0
L1_run_003,4,S04,0.0,0
L1_run_003,4,S07,0.0,0
L1_run_003,4,S08,0.0,1
L1_run_003,4,S09,0.0,0
L1_run_003,4,S11,0.0,0
L1_run_003,4,S13,0.0,0
L1_run_003,4,S14,0.0,0
L1_run_003,4,S15,0.0,0
L1_run_003,4,S20,0.0,0
L1_run_003,5,S08,0.512,1
L1_run_003,5,S10,0.112,0
L1_run_003,5,S01,0.0,0
L1_run_003,5,S04,0.0,0
L1_run_003,5,S05,0.0,0
L1_run_003,5,S06,0.0,0
L1_run_003,5,S07,0.0,0
L1_run_003,5,S09,0.0,0
L1_run_003,5,S11,0.0,0
L1_run_003,5,S13,0.0,0
L1_run_003,5,S14,0.0,0
L1_run_003,5,S15,0.0,0
L1_run_003,5,S16,0.0,0
L1_run_003,5,S18,0.0,0
L1_run_003,5,S19,0.0,0
L1_run_003,5,S20,0.0,0
L1_run_003,6,S10,0.613,0
L1_run_003,6,S18,0.003,0
L1_run_003,6,S01,0.0,0
L1_run_003,6,S03,0.0,0
L1_run_003,6,S04,0.0,0
L1_run_003,6,S05,0.0,0
L1_run_003,6,S06,0.0,0
L1_run_003,6,S07,0.0,0
L1_run_003,6,S09,0.0,0
L1_run_003,6,S11,0.0,0
L1_run_003,6,S13,0.0,0
L1_run_003,6,S14,0.0,0
L1_run_003,6,S15,0.0,0
L1_run_003,6,S16,0.0,0
L1_run_003,6,S19,0.0,0
L1_run_003,6,S20,0.0,0
L1_run_004,2,S07,0.781,0
L1_run_004,2,S05,0.275,0
L1_run_004,2,S02,0.031,0
L1_run_004,2,S20,0.013,0
L1_run_004,2,S01,0.0,0
L1_run_004,2,S03,0.0,0
L1_run_004,2,S06,0.0,0
L1_run_004,2,S08,0.0,0
L1_run_004,2,S12,0.0,0
L1_run_004,2,S13,0.0,0
L1_run_004,2,S14,0.0,0
L1_run_004,2,S15,0.0,0
L1_run_004,2,S16,0.0,0
L1_run_004,2,S17,0.0,0
L1_run_004,2,S18,0.0,0
L1_run_004,2,S19,0.0,1
L1_run_004,3,S01,0.0,0
L1_run_004,3,S02,0.0,0
L1_run_004,3,S03,0.0,0
L1_run_004,3,S05,0.0,0
L1_run_004,3,S06,0.0,0
L1_run_004,3,S07,0.0,0
L1_run_004,3,S08,0.0,0
L1_run_004,3,S09,0.0,0
L1_run_004,3,S12,0.0,0
L1_run_004,3,S14,0.0,0
L1_run_004,3,S15,0.0,0
L1_run_004,3,S16,0.0,0
L1_run_004,3,S17,0.0,0
L1_run_004,3,S18,0.0,0
L1_run_004,3,S19,0.0,1
L1_run_004,3,S20,0.0,0
L1_run_004,4,S19,0.054,0
L1_run_004,4,S01,0.0,0
L1_run_004,4,S02,0.0,0
L1_run_004,4,S03,0.0,0
L1_run_004,4,S05,0.0,0
L1_run_004,4,S06,0.0,0
L1_run_004,4,S08,0.0,0
L1_run_004,4,S09,0.0,0
L1_run_004,4,S12,0.0,0
L1_run_004,4,S13,0.0,0
L1_run_004,4,S14,0.0,0
L1_run_004,4,S15,0.0,0
L1_run_004,4,S16,0.0,0
L1_run_004,4,S17,0.0,0
L1_run_004,4,S18,0.0,0
L1_run_004,4,S20,0.0,0
L1_run_004,5,S16,0.997,0
L1_run_004,5,S07,0.682,1
L1_run_004,5,S01,0.0,0
L1_run_004,5,S02,0.0,0
L1_run_004,5,S03,0.0,0
L1_run_004,5,S05,0.0,0
L1_run_004,5,S06,0.0,0
L1_run_004,5,S08,0.0,0
L1_run_004,5,S09,0.0,0
L1_run_004,5,S13,0.0,0
L1_run_004,5,S14,0.0,0
L1_run_004,5,S15,0.0,0
L1_run_004,5,S17,0.0,0
L1_run_004,5,S18,0.0,0
L1_run_004,5,S19,0.0,0
L1_run_004,5,S20,0.0,0
L1_run_004,6,S09,0.663,0
L1_run_004,6,S03,0.134,0
L1_run_004,6,S01,0.002,0
L1_run_004,6,S13,0.002,0
L1_run_004,6,S02,0.0,0
L1_run_004,6,S05,0.0,0
L1_run_004,6,S06,0.0,0
L1_run_004,6,S08,0.0,0
L1_run_004,6,S12,0.0,0
L1_run_004,6,S14,0.0,0
L1_run_004,6,S15,0.0,0
L1_run_004,6,S16,0.0,0
L1_run_004,6,S17,0.0,0
L1_run_004,6,S18,0.0,0
L1_run_004,6,S19,0.0,0
L1_run_004,6,S20,0.0,0
L1_run_005,2,S12,0.577,1
L1_run_005,2,S13,0.125,0
L1_run_005,2,S17,0.093,0
L1_run_005,2,S08,0.008,0
L1_run_005,2,S01,0.0,0
L1_run_005,2,S02,0.0,0
L1_run_005,2,S04,0.0,0
L1_run_005,2,S05,0.0,0
L1_run_005,2,S06,0.0,0
L1_run_005,2,S07,0.0,0
L1_run_005,2,S11,0.0,0
L1_run_005,2,S14,0.0,0
L1_run_005,2,S15,0.0,0
L1_run_005,2,S18,0.0,0
L1_run_005,2,S19,0.0,0
L1_run_005,2,S20,0.0,0
L1_run_005,3,S15,0.732,0
L1_run_005,3,S18,0.474,0
L1_run_005,3,S13,0.35,0
L1_run_005,3,S19,0.335,0
L1_run_005,3,S14,0.13,0
L1_run_005,3,S11,0.125,0
L1_run_005,3,S17,0.093,0
L1_run_005,3,S12,0.015,1
L1_run_005,3,S08,0.006,0
L1_run_005,3,S06,0.002,0
L1_run_005,3,S01,0.0,0
L1_run_005,3,S03,0.0,0
L1_run_005,3,S04,0.0,0
L1_run_005,3,S05,0.0,0
L1_run_005,3,S07,0.0,0
L1_run_005,3,S20,0.0,0
L1_run_005,4,S01,0.0,0
L1_run_005,4,S02,0.0,0
L1_run_005,4,S03,0.0,0
L1_run_005,4,S04,0.0,0
L1_run_005,4,S05,0.0,0
L1_run_005,4,S06,0.0,0
L1_run_005,4,S07,0.0,0
L1_run_005,4,S08,0.0,0
L1_run_005,4,S11,0.0,0
L1_run_005,4,S13,0.0,0
L1_run_005,4,S14,0.0,0
L1_run_005,4,S15,0.0,0
L1_run_005,4,S17,0.0,0
L1_run_005,4,S18,0.0,0
L1_run_005,4,S19,0.0,0
L1_run_005,4,S20,0.0,0
L1_run_005,5,S12,0.295,1
L1_run_005,5,S15,0.166,0
L1_run_005,5,S11,0.12,0
L1_run_005,5,S01,0.0,0
L1_run_005,5,S03,0.0,0
L1_run_005,5,S04,0.0,0
L1_run_005,5,S05,0.0,0
L1_run_005,5,S06,0.0,0
L1_run_005,5,S07,0.0,0
L1_run_005,5,S08,0.0,0
L1_run_005,5,S13,0.0,0
L1_run_005,5,S14,0.0,0
L1_run_005,5,S17,0.0,0
L1_run_005,5,S18,0.0,0
L1_run_005,5,S19,0.0,0
L1_run_005,5,S20,0.0,0
L1_run_005,6,S18,0.169,0
L1_run_005,6,S01,0.0,0
L1_run_005,6,S02,0.0,0
L1_run_005,6,S03,0.0,0
L1_run_005,6,S04,0.0,0
L1_run_005,6,S05,0.0,0
L1_run_005,6,S06,0.0,0
L1_run_005,6,S07,0.0,0
L1_run_005,6,S08,0.0,0
L1_run_005,6,S11,0.0,0
L1_run_005,6,S12,0.0,1
L1_run_005,6,S14,0.0,0
L1_run_005,6,S15,0.0,0
L1_run_005,6,S17,0.0,0
L1_run_005,6,S19,0.0,0
L1_run_005,6,S20,0.0,0
L1_run_006,2,S03,0.054,0
L1_run_006,2,S08,0.033,0
L1_run_006,2,S15,0.006,0
L1_run_006,2,S01,0.0,0
L1_run_006,2,S02,0.0,0
L1_run_006,2,S04,0.0,0
L1_run_006,2,S05,0.0,0
L1_run_006,2,S07,0.0,0
L1_run_006,2,S09,0.0,0
L1_run_006,2,S10,0.0,0
L1_run_006,2,S12,0.0,0
L1_run_006,2,S13,0.0,0
L1_run_006,2,S14,0.0,0
L1_run_006,2,S16,0.0,0
L1_run_006,2,S19,0.0,0
L1_run_006,2,S20,0.0,0
L1_run_006,3,S06,0.889,0
L1_run_006,3,S10,0.867,0
L1_run_006,3,S16,0.733,0
L1_run_006,3,S14,0.678,0
L1_run_006,3,S08,0.082,0
L1_run_006,3,S15,0.013,0
L1_run_006,3,S13,0.009,1
L1_run_006,3,S09,0.003,0
L1_run_006,3,S02,0.002,0
L1_run_006,3,S01,0.0,0
L1_run_006,3,S04,0.0,0
L1_run_006,3,S05,0.0,0
L1_run_006,3,S07,0.0,0
L1_run_006,3,S12,0.0,0
L1_run_006,3,S19,0.0,0
L1_run_006,3,S20,0.0,0
L1_run_006,4,S16,0.032,0
L1_run_006,4,S01,0.0,0
L1_run_006,4,S02,0.0,0
L1_run_006,4,S03,0.0,0
L1_run_006,4,S04,0.0,0
L1_run_006,4,S05,0.0,0
L1_run_006,4,S06,0.0,0
L1_run_006,4,S07,0.0,0
L1_run_006,4,S09,0.0,0
L1_run_006,4,S10,0.0,0
L1_run_006,4,S12,0.0,0
L1_run_006,4,S13,0.0,0
L1_run_006,4,S14,0.0,0
L1_run_006,4,S15,0.0,0
L1_run_006,4,S19,0.0,0
L1_run_006,4,S20,0.0,0
L1_run_006,5,S08,0.536,1
L1_run_006,5,S01,0.0,0
L1_run_006,5,S02,0.0,0
L1_run_006,5,S03,0.0,0
L1_run_006,5,S04,0.0,0
L1_run_006,5,S05,0.0,0
L1_run_006,5,S06,0.0,0
L1_run_006,5,S07,0.0,0
L1_run_006,5,S09,0.0,0
L1_run_006,5,S10,0.0,0
L1_run_006,5,S13,0.0,0
L1_run_006,5,S14,0.0,0
L1_run_006,5,S15,0.0,0
L1_run_006,5,S16,0.0,0
L1_run_006,5,S19,0.0,0
L1_run_006,5,S20,0.0,0
L1_run_006,6,S01,0.0,0
L1_run_006,6,S02,0.0,0
L1_run_006,6,S03,0.0,0
L1_run_006,6,S04,0.0,0
L1_run_006,6,S05,0.0,0
L1_run_006,6,S06,0.0,0
L1_run_006,6,S07,0.0,0
L1_run_006,6,S09,0.0,0
L1_run_006,6,S10,0.0,0
L1_run_006,6,S12,0.0,0
L1_run_006,6,S13,0.0,0
L1_run_006,6,S14,0.0,0
L1_run_006,6,S15,0.0,0
L1_run_006,6,S16,0.0,0
L1_run_006,6,S19,0.0,0
L1_run_006,6,S20,0.0,0
L1_run_007,2,S01,0.0,0
L1_run_007,2,S02,0.0,0
L1_run_007,2,S03,0.0,0
L1_run_007,2,S04,0.0,0
L1_run_007,2,S06,0.0,0
L1_run_007,2,S07,0.0,0
L1_run_007,2,S08,0.0,0
L1_run_007,2,S09,0.0,0
L1_run_007,2,S10,0.0,0
L1_run_007,2,S11,0.0,0
L1_run_007,2,S12,0.0,0
L1_run_007,2,S14,0.0,0
L1_run_007,2,S15,0.0,0
L1_run_007,2,S16,0.0,0
L1_run_007,2,S19,0.0,0
L1_run_007,2,S20,0.0,1
L1_run_007,3,S09,0.001,0
L1_run_007,3,S01,0.0,0
L1_run_007,3,S02,0.0,0
L1_run_007,3,S03,0.0,0
L1_run_007,3,S04,0.0,0
L1_run_007,3,S05,0.0,0
L1_run_007,3,S06,0.0,0
L1_run_007,3,S07,0.0,0
L1_run_007,3,S08,0.0,0
L1_run_007,3,S10,0.0,0
L1_run_007,3,S12,0.0,0
L1_run_007,3,S14,0.0,0
L1_run_007,3,S15,0.0,0
L1_run_007,3,S16,0.0,0
L1_run_007,3,S19,0.0,0
L1_run_007,3,S20,0.0,1
L1_run_007,4,S01,0.0,0
L1_run_007,4,S02,0.0,0
L1_run_007,4,S03,0.0,0
L1_run_007,4,S04,0.0,0
L1_run_007,4,S05,0.0,0
L1_run_007,4,S06,0.0,0
L1_run_007,4,S07,0.0,0
L1_run_007,4,S09,0.0,0
L1_run_007,4,S10,0.0,0
L1_run_007,4,S11,0.0,0
L1_run_007,4,S12,0.0,0
L1_run_007,4,S14,0.0,0
L1_run_007,4,S15,0.0,0
L1_run_007,4,S16,0.0,0
L1_run_007,4,S19,0.0,0
L1_run_007,4,S20,0.0,0
L1_run_007,5,S19,0.288,0
L1_run_007,5,S12,0.001,0
L1_run_007,5,S01,0.0,0
L1_run_007,5,S02,0.0,0
L1_run_007,5,S03,0.0,0
L1_run_007,5,S04,0.0,0
L1_run_007,5,S05,0.0,0
L1_run_007,5,S06,0.0,0
L1_run_007,5,S07,0.0,0
L1_run_007,5,S09,0.0,0
L1_run_007,5,S10,0.0,0
L1_run_007,5,S11,0.0,0
L1_run_007,5,S14,0.0,0
L1_run_007,5,S15,0.0,0
L1_run_007,5,S16,0.0,0
L1_run_007,5,S20,0.0,1
L1_run_007,6,S15,0.013,0
L1_run_007,6,S19,0.001,0
L1_run_007,6,S01,0.0,0
L1_run_007,6,S02,0.0,0
L1_run_007,6,S03,0.0,0
L1_run_007,6,S04,0.0,0
L1_run_007,6,S05,0.0,0
L1_run_007,6,S06,0.0,0
L1_run_007,6,S07,0.0,0
L1_run_007,6,S09,0.0,0
L1_run_007,6,S10,0.0,0
L1_run_007,6,S11,0.0,0
L1_run_007,6,S12,0.0,0
L1_run_007,6,S14,0.0,0
L1_run_007,6,S16,0.0,0
L1_run_007,6,S20,0.0,0
L1_run_008,2,S15,0.31,0
L1_run_008,2,S16,0.015,0
L1_run_008,2,S19,0.004,0
L1_run_008,2,S04,0.002,0
L1_run_008,2,S08,0.001,0
L1_run_008,2,S01,0.0,0
L1_run_008,2,S02,0.0,0
L1_run_008,2,S03,0.0,0
L1_run_008,2,S09,0.0,0
L1_run_008,2,S10,0.0,0
L1_run_008,2,S11,0.0,1
L1_run_008,2,S12,0.0,0
L1_run_008,2,S13,0.0,0
L1_run_008,2,S14,0.0,0
L1_run_008,2,S17,0.0,0
L1_run_008,2,S20,0.0,0
L1_run_008,3,S16,0.002,0
L1_run_008,3,S01,0.0,0
L1_run_008,3,S02,0.0,0
L1_run_008,3,S03,0.0,0
L1_run_008,3,S04,0.0,0
L1_run_008,3,S08,0.0,0
L1_run_008,3,S09,0.0,0
L1_run_008,3,S10,0.0,0
L1_run_008,3,S12,0.0,0
L1_run_008,3,S13,0.0,0
L1_run_008,3,S14,0.0,0
L1_run_008,3,S15,0.0,0
L1_run_008,3,S17,0.0,0
L1_run_008,3,S18,0.0,0
L1_run_008,3,S19,0.0,0
L1_run_008,3,S20,0.0,0
L1_run_008,4,S11,0.663,1
L1_run_008,4,S20,0.627,0
L1_run_008,4,S01,0.0,0
L1_run_008,4,S02,0.0,0
L1_run_008,4,S03,0.0,0
L1_run_008,4,S04,0.0,0
L1_run_008,4,S08,0.0,0
L1_run_008,4,S10,0.0,0
L1_run_008,4,S12,0.0,0
L1_run_008,4,S13,0.0,0
L1_run_008,4,S14,0.0,0
L1_run_008,4,S15,0.0,0
L1_run_008,4,S16,0.0,0
L1_run_008,4,S17,0.0,0
L1_run_008,4,S18,0.0,0
L1_run_008,4,S19,0.0,0
L1_run_008,5,S20,0.243,0
L1_run_008,5,S01,0.0,0
L1_run_008,5,S02,0.0,0
L1_run_008,5,S03,0.0,0
L1_run_008,5,S04,0.0,0
L1_run_008,5,S08,0.0,0
L1_run_008,5,S09,0.0,0
L1_run_008,5,S10,0.0,0
L1_run_008,5,S12,0.0,0
L1_run_008,5,S13,0.0,0
L1_run_008,5,S14,0.0,0
L1_run_008,5,S15,0.0,0
L1_run_008,5,S16,0.0,0
L1_run_008,5,S17,0.0,0
L1_run_008,5,S18,0.0,0
L1_run_008,5,S19,0.0,0
L1_run_008,6,S16,0.66,0
L1_run_008,6,S01,0.0,0
L1_run_008,6,S02,0.0,0
L1_run_008,6,S03,0.0,0
L1_run_008,6,S04,0.0,0
L1_run_008,6,S08,0.0,0
L1_run_008,6,S09,0.0,0
L1_run_008,6,S10,0.0,0
L1_run_008,6,S12,0.0,0
L1_run_008,6,S13,0.0,0
L1_run_008,6,S14,0.0,0
L1_run_008,6,S15,0.0,0
L1_run_008,6,S17,0.0,0
L1_run_008,6,S18,0.0,0
L1_run_008,6,S19,0.0,0
L1_run_008,6,S20,0.0,0
L1_run_009,2,S17,0.63,0
L1_run_009,2,S09,0.406,0
L1_run_009,2,S19,0.356,0
L1_run_009,2,S05,0.136,0
L1_run_009,2,S16,0.042,0
L1_run_009,2,S02,0.014,0
L1_run_009,2,S14,0.001,0
L1_run_009,2,S20,0.001,0
L1_run_009,2,S01,0.0,0
L1_run_009,2,S03,0.0,0
L1_run_009,2,S04,0.0,0
L1_run_009,2,S06,0.0,1
L1_run_009,2,S08,0.0,0
L1_run_009,2,S11,0.0,0
L1_run_009,2,S12,0.0,0
L1_run_009,2,S13,0.0,0
L1_run_009,3,S01,0.0,1
L1_run_009,3,S02,0.0,0
L1_run_009,3,S04,0.0,0
L1_run_009,3,S05,0.0,0
L1_run_009,3,S08,0.0,0
L1_run_009,3,S09,0.0,0
L1_run_009,3,S11,0.0,0
L1_run_009,3,S12,0.0,0
L1_run_009,3,S13,0.0,0
L1_run_009,3,S14,0.0,0
L1_run_009,3,S16,0.0,0
L1_run_009,3,S17,0.0,0
L1_run_009,3,S18,0.0,0
L1_run_009,3,S19,0.0,0
L1_run_009,3,S20,0.0,0
L1_run_009,4,S03,0.33,0
L1_run_009,4,S01,0.0,0
L1_run_009,4,S02,0.0,0
L1_run_009,4,S04,0.0,0
L1_run_009,4,S05,0.0,0
L1_run_009,4,S08,0.0,0
L1_run_009,4,S09,0.0,0
L1_run_009,4,S11,0.0,0
L1_run_009,4,S12,0.0,0
L1_run_009,4,S13,0.0,0
L1_run_009,4,S14,0.0,0
L1_run_009,4,S16,0.0,0
L1_run_009,4,S17,0.0,0
L1_run_009,4,S18,0.0,0
L1_run_009,4,S19,0.0,0
L1_run_009,4,S20,0.0,0
L1_run_009,5,S01,0.0,0
L1_run_009,5,S02,0.0,0
L1_run_009,5,S03,0.0,0
L1_run_009,5,S04,0.0,0
L1_run_009,5,S05,0.0,0
L1_run_009,5,S06,0.0,1
L1_run_009,5,S09,0.0,0
L1_run_009,5,S11,0.0,0
L1_run_009,5,S12,0.0,0
L1_run_009,5,S13,0.0,0
L1_run_009,5,S14,0.0,0
L1_run_009,5,S16,0.0,0
L1_run_009,5,S17,0.0,0
L1_run_009,5,S18,0.0,0
L1_run_009,5,S19,0.0,0
L1_run_009,5,S20,0.0,0
L1_run_009,6,S01,0.0,0
L1_run_009,6,S02,0.0,0
L1_run_009,6,S03,0.0,0
L1_run_009,6,S04,0.0,0
L1_run_009,6,S05,0.0,0
L1_run_009,6,S08,0.0,0
L1_run_009,6,S09,0.0,0
L1_run_009,6,S11,0.0,0
L1_run_009,6,S12,0.0,0
L1_run_009,6,S13,0.0,0
L1_run_009,6,S14,0.0,0
L1_run_009,6,S16,0.0,0
L1_run_009,6,S17,0.0,0
L1_run_009,6,S18,0.0,0
L1_run_009,6,S19,0.0,0
L1_run_009,6,S20,0.0,0
L1_run_010,2,S16,0.714,0
L1_run_010,2,S20,0.435,0
L1_run_010,2,S02,0.033,0
L1_run_010,2,S01,0.008,0
L1_run_010,2,S17,0.007,1
L1_run_010,2,S11,0.004,0
L1_run_010,2,S14,0.004,0
L1_run_010,2,S15,0.004,0
L1_run_010,2,S03,0.001,0
L1_run_010,2,S06,0.0,0
L1_run_010,2,S07,0.0,0
L1_run_010,2,S08,0.0,0
L1_run_010,2,S09,0.0,0
L1_run_010,2,S13,0.0,0
L1_run_010,2,S18,0.0,0
L1_run_010,2,S19,0.0,0
L1_run_010,3,S14,0.012,0
L1_run_010,3,S18,0.011,0
L1_run_010,3,S20,0.007,1
L1_run_010,3,S17,0.006,0
L1_run_010,3,S10,0.003,0
L1_run_010,3,S13,0.003,0
L1_run_010,3,S01,0.001,0
L1_run_010,3,S06,0.001,0
L1_run_010,3,S02,0.0,0
L1_run_010,3,S03,0.0,0
L1_run_010,3,S07,0.0,0
L1_run_010,3,S08,0.0,0
L1_run_010,3,S09,0.0,0
L1_run_010,3,S11,0.0,0
L1_run_010,3,S16,0.0,0
L1_run_010,3,S19,0.0,0
L1_run_010,4,S17,0.002,0
L1_run_010,4,S01,0.0,0
L1_run_010,4,S02,0.0,0
L1_run_010,4,S03,0.0,0
L1_run_010,4,S06,0.0,0
L1_run_010,4,S07,0.0,0
L1_run_010,4,S08,0.0,0
L1_run_010,4,S09,0.0,0
L1_run_010,4,S10,0.0,0
L1_run_010,4,S11,0.0,0
L1_run_010,4,S13,0.0,0
L1_run_010,4,S14,0.0,0
L1_run_010,4,S15,0.0,1
L1_run_010,4,S16,0.0,0
L1_run_010,4,S18,0.0,0
L1_run_010,4,S20,0.0,0
L1_run_010,5,S01,0.0,0
L1_run_010,5,S02,0.0,0
L1_run_010,5,S03,0.0,0
L1_run_010,5,S06,0.0,0
L1_run_010,5,S07,0.0,0
L1_run_010,5,S08,0.0,0
L1_run_010,5,S09,0.0,0
L1_run_010,5,S10,0.0,0
L1_run_010,5,S11,0.0,0
